"Crash_ID","At_Intersection_Flag","Crash_Date","Crash_Death_Count","Crash_Non.Suspected_Serious_Injury_Count","Crash_Not_Injured_Count","Crash_Possible_Injury_Count","Crash_Severity","Crash_Suspected_Serious_Injury_Count","Crash_Total_Injury_Count","Crash_Unknown_Injury_Count","Latitude","Longitude","Street_Name","Street_Number","Driver_Alcohol_Result","Driver_Blood_Alcohol_Content_Test_Result","Driver_Drug_Test_Result","Unit_Death_Count","Unit_Description","Unit_Non.Suspected_Serious_Injury_Count","Unit_Not_Injured_Count","Unit_Possible_Injury_Count","Unit_Suspected_Serious_Injury_Count","Unit_Total_Injury_Count","Unit_Unknown_Injury_Count","Person_Death_Count","Person_Injury_Severity","Person_Not_Injured_Count","Person_Possible_Injury_Count","Person_Suspected_Serious_Injury_Count","Person_Total_Injury_Count","Person_Type","Crash_Month"
13051927,FALSE,"2013-01-01",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,29.41666888,-98.53977394,"TAMPICO ST",2995,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,0,"C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","January"
13060521,FALSE,"2013-01-02",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.4260584,-98.51584892,"BUENA VISTA ST",1602,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January"
13060530,TRUE,"2013-01-04",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.37504497,-98.53415074,"SL0353",100,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,0,"C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","January"
13060045,FALSE,"2013-01-05",0,0,1,0,"N - NOT INJURED",0,0,1,29.44252126,-98.49929465,"SAN PEDRO AVE",931,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,0,0,1,0,"99 - UNKNOWN",0,0,0,0,"4 - PEDESTRIAN","January"
13117580,TRUE,"2013-01-30",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,29.40260493,-98.40545133,"SL0013",1738,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January"
13117580,TRUE,"2013-01-30",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,29.40260493,-98.40545133,"SL0013",1738,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January"
13123066,TRUE,"2013-01-31",0,2,0,0,"B - SUSPECTED MINOR INJURY",0,2,0,29.46174497,-98.64152228,"CULEBRA RD",7799,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January"
13108237,TRUE,"2013-02-02",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.35021499,-98.48587232,"CURTIS",7700,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February"
13108638,FALSE,"2013-02-02",0,0,3,1,"C - POSSIBLE INJURY",0,1,0,29.48182394,-98.35786999,"FM0078",6606,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,0,"C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February"
13108636,FALSE,"2013-02-03",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",2,2,0,29.53409768,-98.41477948,"PERRIN CENTRAL BLVD",3900,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,0,"A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February"
