"","Crash_ID","At_Intersection_Flag","Crash_Date","Crash_Death_Count","Crash_Non.Suspected_Serious_Injury_Count","Crash_Not_Injured_Count","Crash_Possible_Injury_Count","Crash_Severity","Crash_Suspected_Serious_Injury_Count","Crash_Total_Injury_Count","Crash_Unknown_Injury_Count","Street_Name","Street_Number","Driver_Alcohol_Result","Driver_Blood_Alcohol_Content_Test_Result","Driver_Drug_Test_Result","Unit_Death_Count","Unit_Description","Unit_Non.Suspected_Serious_Injury_Count","Unit_Not_Injured_Count","Unit_Possible_Injury_Count","Unit_Suspected_Serious_Injury_Count","Unit_Total_Injury_Count","Unit_Unknown_Injury_Count","Vehicle_Body_Style","Vehicle_Make","Vehicle_Model_Name","Person_Age","Person_Death_Count","Person_Ethnicity","Person_Gender","Person_Injury_Severity","Person_Not_Injured_Count","Person_Possible_Injury_Count","Person_Suspected_Serious_Injury_Count","Person_Total_Injury_Count","Person_Type","Crash_Month","Crash_Year","OBJECTID","District","SHAPE_Leng","SHAPE_Area","ColorFactor","color","geometry"
"1",13051927,FALSE,"1/1/13",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"TAMPICO ST",2995,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","13",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","January",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.53977394, 29.41666888)
"2",13060521,FALSE,"1/2/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"BUENA VISTA ST",1602,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","92",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.51584892, 29.4260584)
"3",13060530,TRUE,"1/4/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"SL0353",4098,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","11",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","January",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.53415074, 29.37504497)
"4",13117580,TRUE,"1/30/13",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,"SL0013",1738,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","36",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.40545133, 29.40260493)
"5",13117580,TRUE,"1/30/13",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,"SL0013",1738,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","40",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.40545133, 29.40260493)
"6",13123066,TRUE,"1/31/13",0,2,0,0,"B - SUSPECTED MINOR INJURY",0,2,0,"CULEBRA RD",7799,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","58",0,"B - BLACK","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","January",2013,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.64152228, 29.46174497)
"7",13108237,TRUE,"2/2/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"CURTIS",7700,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","56",0,"W - WHITE","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February",2013,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.48587232, 29.35021499)
"8",13108638,FALSE,"2/2/13",0,0,3,1,"C - POSSIBLE INJURY",0,1,0,"FM0078",6606,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","62",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.35786999, 29.48182394)
"9",13108636,FALSE,"2/3/13",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",2,2,0,"PERRIN CENTRAL BLVD",3900,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","64",0,"W - WHITE","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.41477948, 29.53409768)
"10",13108636,FALSE,"2/3/13",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",2,2,0,"PERRIN CENTRAL BLVD",3900,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","67",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.41477948, 29.53409768)
"11",13113369,FALSE,"2/3/13",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"FM2536",4814,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","39",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.59055059, 29.36415419)
"12",13108723,FALSE,"2/4/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"W ROSEWOOD AVE",1600,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.52323231, 29.46408496)
"13",13112903,FALSE,"2/4/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"SS0421",1841,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","49",0,"B - BLACK","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.57460102, 29.47138337)
"14",13114103,TRUE,"2/4/13",0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,"W CYPRESS ST",100,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49417231, 29.44064497)
