Year,Street,Cross Reference,AADT,Total Coll,Prop Damage Coll,Total Injury Coll,Major Injury Coll,Minor Injury Coll,Fatal Coll,# of Injuries,# of Fatalities,Collision Rate,Prop Damage Rate,Injury Coll Rate,Minor Inj Rate,Major Inj Rate,Fatal Coll Rate,HSIP Safety Index
2000,"A STREET, ANCHORAGE","WEST 13TH AVENUE, ANCHORAGE",15100,3,2,1,0,1,0,2,0,0.54,0.36,0.18,0.18,0,0,0
2000,"A STREET, ANCHORAGE","WEST 16TH AVENUE, ANCHORAGE",19100,5,5,0,0,0,0,0,0,0.72,0.72,0,0,0,0,0
2000,"A STREET, ANCHORAGE","WEST 32ND AVENUE, ANCHORAGE",20100,7,6,1,0,1,0,1,0,0.95,0.81,0.14,0.14,0,0,0.55
2000,"A STREET, ANCHORAGE","WEST 34TH AVENUE, ANCHORAGE",17500,2,2,0,0,0,0,0,0,0.31,0.31,0,0,0,0,0
2000,"A STREET, ANCHORAGE","WEST 36TH AVENUE, ANCHORAGE",34000,22,15,7,0,7,0,10,0,1.76,1.2,0.56,0.56,0,0,1.13
2000,"A STREET, ANCHORAGE","WEST 38TH AVENUE, ANCHORAGE",15600,4,4,0,0,0,0,0,0,0.71,0.71,0,0,0,0,0.39
2000,"A STREET, ANCHORAGE","WEST 3RD AVENUE, ANCHORAGE",13700,6,4,2,0,2,0,3,0,1.2,0.8,0.4,0.4,0,0,0.55
2000,"A STREET, ANCHORAGE","WEST 4TH AVENUE, ANCHORAGE",16600,8,7,1,0,1,0,2,0,1.31,1.15,0.16,0.16,0,0,0.63
2000,"A STREET, ANCHORAGE","WEST 5TH AVENUE, ANCHORAGE",27200,16,8,8,0,8,0,9,0,1.6,0.8,0.8,0.8,0,0,0.85
2000,"A STREET, ANCHORAGE","WEST 6TH AVENUE, ANCHORAGE",23700,11,11,0,0,0,0,0,0,1.27,1.27,0,0,0,0,0.66
2000,"A STREET, ANCHORAGE","WEST 7TH AVENUE, ANCHORAGE",15400,2,1,1,0,1,0,1,0,0.36,0.18,0.18,0.18,0,0,0.28
2000,"A STREET, ANCHORAGE","WEST 8TH AVENUE, ANCHORAGE",12200,3,1,2,0,2,0,2,0,0.66,0.22,0.44,0.44,0,0,0.5
2000,"A STREET, ANCHORAGE","WEST 9TH AVENUE, ANCHORAGE",18500,4,4,0,0,0,0,0,0,0.59,0.59,0,0,0,0,0.33
2000,"A STREET, ANCHORAGE","WEST BENSON BOULEVARD, ANCHORAGE",44200,25,19,6,0,6,0,9,0,1.54,1.17,0.37,0.37,0,0,0.88
