CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4750401,2012,10/24/13,103,4/10/12,1347,23,21,2,5,6,103,0,0,0,,0,16,UNIVERSITY AV,6TH ST,0,,Y,B,C,N,,,,,,,,,,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,J,48,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2977431,37.86803486
5414040,2013,5/15/13,103,2/7/13,1310,37,28,4,5,6,103,0,0,0,,0,6,CHANNING WY,DANA ST,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,B,B,E,A,H,-,A,A,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2611132,37.8666249
5520488,2012,9/12/13,9370,1/9/12,1800,14769,,1,2,6,103,0,1,1,,2,81,RT 80,ASHBY AV,400,E,N,A,-,Y,ALA,4,80,-,-,4.53,H,-,W,Y,4,0,3,3,A,-,3,22350,,N,C,C,A,A,H,-,D,D,6,,,,,Y,,A,1,0,0,3,0,0,0,0,0,0,- ,- ,37.51004,-122.51004,ALAMEDA,BERKELEY,-122.2987693,37.84757354
5520512,2012,9/12/13,9370,1/12/12,1600,18954,,4,2,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,137,E,N,A,-,Y,ALA,4,80,-,-,5.87,H,-,W,Y,4,0,2,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,37.86566,-122.30379,ALAMEDA,BERKELEY,-122.3038977,37.86658604
5520569,2012,9/12/13,9370,1/2/12,1730,20215,,1,2,6,103,0,1,1,,2,81,RT 80,GILMAN ST,130,E,N,A,-,Y,ALA,4,80,-,-,6.822,R,1,W,Y,4,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,D,D,6,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,- ,- ,37.87854,-122.30778,ALAMEDA,BERKELEY,-122.3083032,37.881815
5520581,2012,9/12/13,9370,1/17/12,842,14822,,2,1,6,103,0,1,1,,2,81,RT 80,GILMAN ST,16,E,N,A,-,Y,ALA,4,80,-,-,6.822,R,1,W,N,3,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,6,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,37.52416,-122.18281,ALAMEDA,BERKELEY,-122.3083032,37.881815
5520591,2012,12/2/13,9370,2/13/12,2251,18568,,1,3,6,103,0,1,1,,2,81,RT 80,GILMAN ST,1030,W,N,A,-,Y,ALA,4,80,-,-,6.42,H,-,W,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,C,D,6,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,37.87343,-122.30601,ALAMEDA,BERKELEY,-122.3061613,37.8737159
5520603,2012,12/2/13,9370,2/3/12,1840,19663,,5,2,6,103,0,1,1,,2,81,RT 80,GILMAN ST,150,W,N,A,-,Y,ALA,4,80,-,-,6.59,H,-,W,Y,4,0,2,3,A,-,3,22350,,M,C,C,A,A,H,-,E,D,6,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,37.87748,-122.30661,ALAMEDA,BERKELEY,-122.3071856,37.87712263
5520609,2012,9/12/13,9370,1/20/12,2110,2086,,5,2,6,103,0,1,1,,2,81,RT 80,GILMAN ST,150,E,N,C,-,Y,ALA,4,80,-,-,6.71,H,-,E,Y,3,0,2,2,A,-,7,21658,A,N,B,C,A,B,H,-,C,D,6,,,,,Y,,A,1,0,1,1,0,0,0,0,0,0,- ,- ,37.87855,-122.30721,ALAMEDA,BERKELEY,-122.3076049,37.87965513
5520621,2012,9/12/13,9370,1/26/12,1623,18499,,4,2,6,103,0,1,1,,2,81,RT 80,ASHBY AV,1250,E,N,A,-,Y,ALA,4,80,-,-,4.69,H,-,W,Y,3,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,1,1,0,0,0,0,0,0,- ,- ,37.5108,-122.1759,ALAMEDA,BERKELEY,-122.2995418,37.85097477
5520625,2012,9/12/13,9370,1/27/12,940,19985,,5,1,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,811,W,N,A,-,Y,ALA,4,80,-,-,5.69,H,-,W,Y,4,0,2,5,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,37.51521,-122.18113,ALAMEDA,BERKELEY,-122.3032059,37.86428076
5520629,2012,9/12/13,9370,1/27/12,1440,19985,,5,2,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,367,E,N,A,-,Y,ALA,4,80,-,-,5.91,H,-,W,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,37.5204,-122.18154,ALAMEDA,BERKELEY,-122.3040619,37.86709792
5520631,2012,12/2/13,9370,2/13/12,2250,18719,,1,3,6,103,0,1,1,,2,81,RT 80,GILMAN ST,1000,W,N,A,-,Y,ALA,4,80,-,-,6.43,H,-,W,Y,4,0,1,2,A,-,- ,,,N,E,I,A,A,H,-,D,D,6,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,37.87342,-122.30604,ALAMEDA,BERKELEY,-122.3062182,37.87391695
5525926,2012,7/8/13,103,1/31/12,1054,143,24,2,5,6,103,0,0,0,,0,3,MARTIN LUTHER KING JR WY,VIRGINIA ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2735531,37.87600486
5525930,2012,7/9/13,103,1/30/12,811,143,20,1,5,6,103,0,0,0,,0,15,7TH ST,HEINZ AV,169,N,N,A,-,N,,,,,,,,,,Y,4,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2921051,37.85393333
5525942,2012,7/8/13,103,1/24/12,1609,8,29,2,5,6,103,0,0,0,,0,5,DWIGHT WY,MILVIA ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21802,A,N,D,C,A,A,H,-,A,B,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2698832,37.86363488
5525946,2012,7/8/13,103,1/24/12,1233,96,29,2,5,6,103,0,0,0,,0,4,MARTIN LUTHER KING JR WY,ALLSTON WY,60,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2727035,37.868969
5525954,2012,7/8/13,103,1/18/12,2016,10,35,3,5,6,103,0,0,0,,0,10,SHATTUCK AV,RUSSELL ST,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,3,A,-,3,22350,,F,C,G,A,A,H,-,C,D,0,,Y,,,Y,Y,D,22,0,1,0,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2667331,37.85673495
5525970,2012,9/27/13,103,1/6/12,1145,37,22,5,5,6,103,0,0,0,,0,16,SAN PABLO AV,HEARST AV,0,,Y,A,-,Y,ALA,4,123,-,-,3.25,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2927066,37.87046626
5532259,2012,12/2/13,9370,2/9/12,1650,13964,,4,2,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,2000,W,N,A,-,Y,ALA,4,80,-,-,5.46,H,-,W,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,- ,- ,37.86134,-122.30227,ALAMEDA,BERKELEY,-122.3024358,37.86135123
5532294,2012,12/2/13,9370,2/3/12,900,20235,,5,1,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,50,E,N,A,-,Y,ALA,4,80,-,-,5.85,H,-,W,N,4,0,1,3,A,-,4,21703,,F,C,C,A,A,H,-,A,D,6,,,,Y,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,37.8665,-122.30389,ALAMEDA,BERKELEY,-122.3038143,37.86633023
5532304,2012,12/2/13,9370,2/2/12,1518,20235,,4,2,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,1500,E,N,B,-,Y,ALA,4,80,-,-,6.12,H,-,W,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,- ,- ,37.87076,-122.30511,ALAMEDA,BERKELEY,-122.3049414,37.86978245
5532310,2012,9/12/13,9370,1/23/12,121,19059,,1,3,6,103,0,1,1,,2,81,RT 80,GILMAN ST,10,E,N,C,-,Y,ALA,4,80,-,-,6.62,H,-,W,Y,3,0,3,2,A,-,7,21658,A,N,B,C,A,B,H,-,D,D,6,,,,Y,Y,,G,27,0,1,2,0,0,0,0,0,0,- ,- ,37.52408,-122.18261,ALAMEDA,BERKELEY,-122.3073715,37.87772263
5533562,2012,12/2/13,9370,1/10/12,1840,19436,,2,2,6,103,0,1,1,,2,81,RT 80,ASHBY AV,66,E,N,A,-,Y,ALA,4,80,-,-,4.58,H,-,W,Y,3,0,3,4,A,-,3,22350,,N,C,C,A,A,H,-,D,D,6,,,,,Y,,A,1,0,1,2,0,0,0,0,0,0,- ,- ,37.85085,-122.2994,ALAMEDA,BERKELEY,-122.2990007,37.8486378
5533570,2012,12/2/13,9370,1/12/12,920,13964,,4,1,6,103,0,1,1,,2,81,RT 80,GILMAN ST,500,W,N,A,-,Y,ALA,4,80,-,-,6.53,H,-,W,Y,4,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,37.87767,-122.30726,ALAMEDA,BERKELEY,-122.3068043,37.87592424
5539577,2012,4/7/14,103,1/30/12,1905,144,12,1,5,6,103,0,0,0,,0,1,MARIN AV,TULARE AV,0,,Y,B,-,N,,,,,,,,,,N,1,1,0,2,A,I,- ,,,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,A,1,0,0,0,1,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2819332,37.88939493
5539629,2012,12/2/13,9370,2/2/12,1000,20235,,4,1,6,103,0,1,1,,2,81,RT 80,UNIVERSITY AV,100,W,N,A,-,Y,ALA,4,80,-,-,5.82,H,-,W,N,3,0,1,2,A,-,4,21703,,F,C,D,A,A,H,-,A,D,6,,,,,Y,,A,8,0,1,0,0,0,0,0,0,0,- ,- ,37.86638,-122.30374,ALAMEDA,BERKELEY,-122.3036893,37.86594651
5545044,2012,10/14/13,103,1/18/12,1100,144,31,3,5,6,103,0,0,0,,0,14,SAN PABLO AV,BANCROFT WY,0,,Y,A,-,Y,ALA,4,123,-,-,2.83,I,5,N,Y,3,0,1,2,A,-,9,21802,A,F,D,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2907124,37.86472436
5545048,2012,6/11/13,103,1/19/12,1818,156,18,4,5,6,103,0,0,0,,0,17,CEDAR ST,4TH ST,0,,Y,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21802,A,N,D,G,A,B,H,-,C,A,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.3018931,37.87367495
5545052,2012,6/11/13,103,1/20/12,1720,7,13,5,5,6,103,0,0,0,,0,1,MARIN AV,W COLUSA AV,300,W,N,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,D,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2799119,37.8897815
5545056,2012,6/11/13,103,1/20/12,2050,156,20,5,5,6,103,0,0,0,,0,16,UNIVERSITY AV,WEST FRONTAGE RD,0,,Y,C,-,N,,,,,,,,,,Y,4,0,2,2,A,-,3,22350,,N,D,C,A,B,H,-,C,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.3056632,37.86641488
5545060,2012,6/11/13,103,1/20/12,2122,90,30,5,5,6,103,0,0,0,,0,3,UNIVERSITY AV,GRANT ST,0,,Y,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,1,23153,A,N,G,B,B,B,F,-,C,D,0,Y,,,,Y,Y,A,1,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2753331,37.87132486
5545064,2012,6/11/13,103,1/21/12,1017,20,23,6,5,6,103,0,0,0,,0,18,SACRAMENTO ST,CEDAR ST,0,,Y,B,-,N,,,,,,,,,,N,4,0,2,2,A,-,21,22106,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,7,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2827631,37.87670485
5545068,2012,9/3/13,103,1/21/12,1623,50,39,6,5,6,103,0,0,0,,0,10,ASHBY AV,WHEELER ST,0,,Y,A,-,N,,,,,,,,,,Y,4,0,2,4,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2645931,37.85553486
5545072,2012,6/11/13,103,1/23/12,1121,57,15,1,5,6,103,0,0,0,,0,2,EUCLID AV,KEITH AV,800,S,N,C,-,N,,,,,,,,,,N,4,0,1,3,A,-,8,22107,,N,C,E,A,B,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2620597,37.88869233
5545076,2012,6/11/13,103,1/25/12,1055,96,17,3,5,6,103,0,0,0,,0,3,ROSE ST,MLK JR WY,98,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2744484,37.88138162
5545080,2012,6/11/13,103,1/27/12,1504,8,29,5,5,6,103,0,0,0,,0,5,MILVIA ST,ALLSTON WY,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21801,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,7,0,0,1,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2704832,37.86907491
5545084,2012,6/10/13,103,1/28/12,1255,81,40,6,5,6,103,0,0,0,,0,11,MARTIN LUTHER KING JR WY,62ND ST,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,9,21801,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,1,0,1,0,0,0,0,0,0,1,- ,- ,,,ALAMEDA,BERKELEY,-122.271021,37.846962
5545088,2012,9/23/13,103,1/28/12,1430,81,34,6,5,6,103,0,0,0,,0,11,RT 13,CALIFORNIA ST,300,E,N,A,-,Y,ALA,4,13,-,-,12.58,H,-,S,N,4,0,2,3,A,-,3,22350,,F,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2758888,37.85368275
5545092,2012,6/10/13,103,1/29/12,1405,18,21,7,5,6,103,0,0,0,,0,16,6TH ST,UNIVERSITY AV,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21456,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2977431,37.86803486
5545096,2012,6/10/13,103,1/29/12,1049,51,37,7,5,6,103,0,0,0,,0,8,DWIGHT WY,COLLEGE AV,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,8,22107,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2539131,37.86572495
5545141,2012,9/23/13,103,1/1/12,826,126,40,7,5,6,103,0,0,0,,0,10,ASHBY AV,MARTIN LUTHER KING JR WY,0,,Y,A,-,Y,ALA,4,13,-,-,12.32,I,5,S,N,4,0,1,2,D,-,0,,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,-,- ,0,0,1,0,1,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2713375,37.85425986
5545145,2012,9/27/13,103,1/2/12,103,123,31,1,5,6,103,0,0,0,,0,18,SAN PABLO AV,UNIVERSITY AV,0,,Y,A,-,Y,ALA,4,123,-,-,3.15,I,5,N,Y,2,0,2,2,A,-,1,23153,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,1,1,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2921232,37.869145
5545149,2012,9/23/13,103,1/5/12,1547,151,40,4,5,6,103,0,0,0,,0,13,ASHBY AV,MABEL ST,16,W,N,A,-,Y,ALA,4,13,-,-,13.02,I,5,N,Y,3,0,2,2,A,-,12,21453,A,N,H,G,A,A,H,-,A,A,0,,Y,Y,,Y,,L,4,0,2,0,0,0,0,1,0,1,- ,- ,,,ALAMEDA,BERKELEY,-122.2838565,37.85270993
5545153,2012,6/22/13,103,1/7/12,1626,144,21,6,5,6,103,0,0,0,,0,17,6TH ST,CAMILLA ST,0,,Y,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,3,22350,,F,E,I,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.3008096,37.87757184
5545157,2012,6/22/13,103,1/9/12,2124,151,21,1,5,6,103,0,0,0,,0,16,UNIVERSITY AV,7TH ST,104,W,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,6,21754,,N,B,C,A,A,H,-,C,D,0,,,,,Y,,-,- ,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2970642,37.86816021
5545161,2012,6/22/13,103,1/10/12,1207,8,24,2,5,6,103,0,0,0,,0,4,UNIVERSITY AV,SHATTUCK AV,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,H,G,A,A,H,-,A,B,0,,Y,,,Y,,L,4,0,1,0,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2684632,37.87221486
5545165,2012,6/22/13,103,1/11/12,1401,37,13,3,5,6,103,0,0,0,,0,1,COLUSA AV,VINCENTE AV,466,N,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,5,21460,A,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2838553,37.89537402
5545169,2012,6/22/13,103,1/11/12,1642,151,21,3,5,6,103,0,0,0,,0,16,HEARST ST,7TH ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,21,22106,,N,H,G,A,A,H,-,B,D,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2971332,37.86954493
5545173,2012,6/22/13,103,1/11/12,1731,18,35,3,5,6,103,0,0,0,,0,5,DERBY ST,MILVIA ST,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,3,22350,,N,H,G,A,A,H,-,B,D,0,,Y,,,Y,,A,1,0,1,0,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2694532,37.86002487
5545177,2012,6/22/13,103,1/12/12,1406,83,15,4,5,6,103,0,0,0,,0,2,EUCLID AV,CRYSTAL WY,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,3,22350,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2621132,37.88762493
5545181,2012,6/22/13,103,1/13/12,1203,8,29,5,5,6,103,0,0,0,,0,6,SHATTUCK AV,DWIGHT WY,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,B,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2674732,37.86395493
5545185,2012,9/27/13,103,1/13/12,1239,,31,5,5,6,103,0,0,0,,0,16,RT 123,COWPER ST,0,,Y,A,-,Y,ALA,4,123,-,-,3.02,I,5,S,N,4,0,1,2,A,-,3,22350,,F,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2917039,37.86729936
5545189,2012,9/23/13,103,1/13/12,1730,106,37,5,5,6,103,0,0,0,,0,8,ASHBY AV,DOMINGO AV,0,,Y,A,-,Y,ALA,4,13,-,-,10.7,H,-,S,N,4,0,1,3,A,-,21,22106,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2433272,37.85790601
5545193,2012,6/22/13,103,1/14/12,1540,29,33,6,5,6,103,0,0,0,,0,15,SAN PABLO AV,CARLETON ST,65,N,N,A,-,N,,,,,,,,,,Y,3,0,1,3,A,-,5,21651,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,A,1,0,1,0,0,0,0,1,0,0,- ,- ,,,ALAMEDA,BERKELEY,-122.2889214,37.85866746
5545197,2012,9/13/13,103,1/15/12,1412,S18,20,7,5,6,103,0,0,0,,0,17,GILMAN ST,RT 80,0,,Y,A,-,Y,ALA,4,80,-,-,6.479,R,4,E,N,4,0,1,2,A,-,9,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,EF,,,ALAMEDA,BERKELEY,-122.3060432,37.874535
5554731,2012,9/12/13,9370,1/1/12,15,20215,,7,3,6,103,0,1,1,,2,81,RT 80,GILMAN ST,600,W,N,A,-,Y,ALA,4,80,-,-,6.51,H,-,E,Y,4,0,3,2,A,-,3,22350,,N,C,C,A,A,H,-,D,D,6,,,,,Y,,A,1,0,0,3,0,0,0,0,0,0,- ,- ,37.87958,-122.30669,ALAMEDA,BERKELEY,-122.3062693,37.87522032
5554743,2012,9/12/13,9370,1/4/12,1215,18954,,3,1,6,103,0,1,1,,2,81,RT 80,GILMAN ST,1230,W,N,A,-,Y,ALA,4,80,-,-,6.39,H,-,E,N,4,0,2,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,6,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,37.7843,-122.30578,ALAMEDA,BERKELEY,-122.3057698,37.87367115
5554795,2012,9/12/13,9370,1/19/12,1849,20286,,4,2,6,103,0,1,1,,2,81,RT 80,ASHBY AV,367,E,N,C,-,Y,ALA,4,80,-,-,4.671,R,1,E,N,4,0,1,2,A,-,1,23152,A,F,C,C,A,B,H,-,D,D,6,,,,,Y,Y,A,1,0,0,1,0,0,0,0,0,0,FR,- ,37.84947,-122.29843,ALAMEDA,BERKELEY,-122.2993332,37.851125
