CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4753828,2011,9/21/12,9680,4/14/11,2232,18754,,4,3,5,3708,0,1,1,,2,81,RT 8,SEVERIN DR,10,W,N,A,-,Y,SD,11,8,-,-,12.65,H,-,E,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,A,D,-,C,A,1,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,32.81373,-116.91891,SAN DIEGO,LA MESA,-116.9930398,32.77904354
4757283,2011,5/29/12,3708,4/11/11,1625,1215,400,1,5,5,3708,0,0,0,,0,3,PARKWAY DR,JACKSON DR,11,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21950,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0184075,32.77838309
4757307,2011,5/29/12,3708,4/12/11,1621,1212,400,2,5,5,3708,0,0,0,,0,1,UNIVERSITY AV,LA MESA BL,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,1,0,0,1,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.02646,32.7649
4757311,2011,5/29/12,3708,4/17/11,2040,1215,400,7,5,5,3708,0,0,0,,0,4,LA MESA BL,HAWLEY AV,14,S,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,8,22107,,N,C,E,A,A,H,-,C,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0043682,32.77508904
4757327,2011,6/14/12,3708,4/16/11,2000,1233,200,6,5,5,3708,0,0,0,,0,4,AMAYA DR,SEVERIN DR,119,W,N,A,-,N,,,,,,,,,,Y,3,0,2,4,A,-,3,22350,,N,C,C,A,A,H,-,C,A,0,,,,Y,Y,,A,1,0,1,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-116.9989254,32.78568639
4757343,2011,5/29/12,3708,4/21/11,1715,8193,400,4,5,5,3708,0,0,0,,0,4,DALLAS ST,AMARILLO AV,138,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,8,22107,,N,B,E,A,A,H,-,A,D,0,,,,,Y,,A,7,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0159993,32.7908929
4757900,2011,4/24/12,3708,3/15/11,1330,1203,400,2,5,5,3708,0,0,0,,0,1,EL CAJON BL,GUAVA AV,8,E,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,12,21453,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0282674,32.76879214
4757904,2011,4/24/12,3708,3/3/11,1450,1130,400,4,5,5,3708,0,0,0,,0,1,EASTRIDGE DR,SEATTLE DR,10,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,9,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,-,- ,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0344129,32.74955788
4990195,2011,2/3/11,3708,1/1/11,107,1215,400,6,5,5,3708,0,0,0,,0,4,MURRAY DR,SEVERIN DR,495,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,C,-,18,,,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,-,- ,0,0,0,1,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-116.9956347,32.77983917
4991027,2011,5/13/11,3708,4/25/11,1127,1167,400,1,5,5,3708,0,0,0,,0,4,BROADMOOR PL,BROADMOOR DR,13,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,21,22106,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-116.9933769,32.78737454
5018153,2011,3/8/12,3708,1/7/11,240,1233,200,5,5,5,3708,0,0,0,,0,1,ACACIA AV,LEMON AV,151,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,8,22107,,N,D,E,A,A,H,-,C,-,0,,,,Y,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0222542,32.76313875
5018164,2011,3/8/12,3708,1/12/11,1214,8193,400,3,5,5,3708,0,0,0,,0,2,CENTER DR,JACKSON DR,25,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,6,21755,,N,B,C,A,A,H,-,A,A,0,,,,Y,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0158231,32.776327
5045000,2011,3/15/12,3708,1/4/11,1500,1212,400,2,5,5,3708,0,0,0,,0,1,DATE AV,ALLISON AV,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,8,22107,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,1,0,0,1,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.02238,32.76604
5045008,2011,3/15/12,3708,1/14/11,740,1203,400,5,5,5,3708,0,0,0,,0,3,LAKE MURRAY BL,MARENGO AV,20,W,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,9,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0261163,32.78491839
5045016,2011,3/15/12,3708,1/26/11,926,1212,400,3,5,5,3708,0,0,0,,0,4,DALLAS ST,FLETCHER PKWY,0,,Y,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.00207,32.79243
5045024,2011,3/15/12,3708,1/27/11,1740,1214,100,4,5,5,3708,0,0,0,,0,1,MASSACHUSETTS AV,WAITE DR,30,N,N,A,-,N,,,,,,,,,,N,4,0,3,2,A,-,3,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,1,0,0,3,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0428307,32.74631696
5069250,2011,5/1/12,9680,2/9/11,1705,11091,,3,2,5,3708,0,1,3,,2,28,RT 125,MURRAY DR,111,N,N,A,-,Y,SD,11,125,-,R,15.5,H,-,S,Y,4,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,LA MESA,-117.0045405,32.77994253
