CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4755117,2011,5/31/12,2706,4/6/11,649,142,MPD,3,5,4,2706,0,0,0,,0,3,DEL MONTE,CAMINO AGUAJITO,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,3,A,-,4,21703,,N,C,C,A,A,H,-,B,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.88352,36.59988
4990842,2011,3/22/13,2706,3/3/11,2019,,,4,5,4,2706,0,0,0,,0,,AGUAJITO RD,FREMONT ST,118,S,N,A,-,Y,MON,5,1,-,R,77.58,R,4,N,Y,1,1,0,1,A,-,1,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,7,0,0,0,0,0,0,0,0,0,- ,- ,36.59382,-121.88227,MONTEREY,MONTEREY,-121.876493,36.59327492
5061229,2011,3/13/12,2706,1/3/11,1542,538,,1,5,4,2706,0,0,0,,0,,DEL MONTE,AGUAJITO,0,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,1,1,0,0,0,0,0,1,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.88352,36.59988
5069949,2011,4/12/12,2706,2/19/11,958,172,PD,6,5,4,2706,0,0,0,,0,3,N FREMONT,CASANOVA,0,,Y,C,-,N,,,,,,,,,,Y,4,0,1,2,A,-,3,22350,,N,C,-,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.8531367,36.59759488
5070266,2011,3/22/12,2706,1/21/11,1133,142,MPD,5,5,4,2706,0,0,0,,0,3,AGUAJITO RD,3RD ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,4,21703,,N,C,C,A,A,D,-,A,D,0,,,,Y,Y,,F,21,0,0,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.8827,36.59735
5078054,2011,5/17/12,9730,2/23/11,910,19560,,3,1,4,2706,1,1,3,,2,62,RT 1,RT 68,2112,S,N,B,-,Y,MON,5,1,-,R,77.72,H,-,S,Y,3,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,A,A,1,,,,,Y,,H,14,0,1,1,0,0,0,0,0,0,- ,- ,36.59367,-121.87568,MONTEREY,MONTEREY,-121.8750804,36.59371337
5085995,2011,4/13/12,2706,2/7/11,1544,142,MPD,1,5,4,2706,0,0,0,,0,3,AGUAJITO RD,MARK THOMAS,0,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.8801195,36.591102
5092246,2011,4/3/12,2706,1/18/11,1215,538,,2,5,4,2706,0,0,0,,0,1,LIGHTHOUSE AV,LIGHTHOUSE AV 100,0,,N,A,-,N,,,,,,,,,,,3,0,2,1,D,-,0,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,- ,0,1,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.89724,36.60842
5092293,2011,3/10/12,2706,1/3/11,1101,538,,1,5,4,2706,0,0,0,,0,2,ABREGO,PEARL,40,,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,6,21755,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,-,,1,0,0,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.8926624,36.5977
5093778,2011,3/24/12,2706,2/23/11,1419,142,MPD,3,5,4,2706,0,0,0,,0,2,FREMONT,VIA MIRADA,147,E,N,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,3,22350,,F,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,2,1,0,0,0,0,0,0,- ,- ,,,MONTEREY,MONTEREY,-121.886725,36.59455439
