CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8008532,2020,11/24/20,3711,9/30/20,1948,SD7377,,3,5,7,3711,0,0,0,,0,441,LOGAN AV,DOMINION ST,50,W,N,A,-,N,,,,,,,,,,N,3,0,2,7,B,-,22,,,N,B,C,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,1,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.1014252,32.69683075
8910837,2020,3/19/20,3711,2/22/20,1910,SD4576,,6,5,7,3711,0,0,0,,0,712,EAST BEYER BL,BOLTON HALL RD,548,S,N,B,-,N,,,,,,,,,,Y,1,1,1,1,A,-,3,22350,,N,E,I,A,B,B,F,C,C,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.0353241,32.54983521
8910839,2020,6/18/22,3711,1/19/20,154,SD6967,,7,5,7,3711,0,0,0,,0,514,MARKET ST,19TH ST,93,W,N,A,-,Y,SD,11,94,-,-,1.493,R,4,E,N,1,1,0,2,A,-,3,22350,,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,A,7,0,0,0,1,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.1462479,32.71300507
8910853,2020,3/18/20,3711,1/6/20,1820,SD6252,,1,5,7,3711,0,0,0,,0,234,RANCHO BERNARDO RD,MEANDRO DR,0,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,9,21802,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.0627594,33.0186882
8910955,2020,4/13/20,3711,3/6/20,919,SD5985,,5,5,7,3711,0,0,0,,0,242,BLACK MOUNTAIN RD,ROCKFIELD WY,528,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,8,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.1252518,32.92806244
8911026,2020,6/18/22,3711,4/10/20,753,SD7174,,5,5,7,3711,0,0,0,,0,934,CARMEL CANYON RD,CAMINITO CAMPANEO,368,S,N,C,-,N,,,,,,,,,,Y,1,2,1,1,A,-,3,22350,,N,D,I,A,B,G,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.2132797,32.9526825
8911028,2020,5/8/20,3711,1/23/20,1849,SD6834,,4,5,7,3711,0,0,0,,0,242,MIRA MESA BL,ADERMAN AV,0,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21950,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.1621323,32.90921021
8911029,2020,6/18/22,3711,2/22/20,102,SD6513,,6,5,7,3711,0,0,0,,0,246,SCRIPPS POWAY PKWY,CYPRESS CANYON RD,343,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,3,22350,,N,E,I,A,A,H,-,D,D,0,,,Y,,Y,Y,C,2,0,0,0,0,0,0,0,1,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.0855637,32.93412018
8911039,2020,5/12/20,3711,3/13/20,2142,SD6146,,5,5,7,3711,0,0,0,,0,931,CAMINO SANTA FE,MIRATECH DR,352,S,N,B,-,N,,,,,,,,,,Y,1,3,1,1,A,-,8,22107,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-117.1702042,32.89744568
8911040,2020,6/18/22,3711,3/5/20,912,SD5600,,4,5,7,3711,0,0,0,,0,713,OTAY MESA RD,OTAY MESA CENTER RD,0,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,12,21453,A,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,99,0,0,0,1,0,0,0,0,0,- ,- ,,,SAN DIEGO,SAN DIEGO,-116.9666519,32.56774139
