CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4750471,2011,2/2/13,4006,8/31/11,1310,16380,,3,5,4,4006,0,0,0,,0,,HIGUERA,NIPOMO,384,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,17,21208,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.666819,35.27757011
4752401,2011,5/30/12,4006,4/9/11,1717,89650,,6,5,4,4006,0,0,0,,0,,BROAD,BUCHON,0,,Y,A,-,N,,,,,,,,,,Y,3,0,2,1,A,-,1,23152,A,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,Y,C,2,0,1,1,0,0,0,0,0,2,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6617715,35.27586
4752413,2011,10/1/12,4006,4/1/11,47,88907,,5,5,4,4006,0,0,0,,0,0Z2,ISLAY,CARMEL,200,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,8,22107,,M,C,E,A,A,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6644842,35.27300257
4752417,2011,5/30/12,4006,4/6/11,1032,54160,,3,5,4,4006,0,0,0,,0,,JOHNSON,PISMO,180,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,5,21650,1,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,4,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6548448,35.28189349
4752478,2011,5/30/12,4006,4/4/11,958,36190,,1,5,4,4006,0,0,0,,0,,BROAD,FUNSTON,0,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,9,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,2,0,0,0,0,0,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6555165,35.268507
4752487,2011,4/20/12,4006,3/30/11,103,40150,,3,5,4,4006,0,0,0,,0,,JOHNSON,ELLA,139,S,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,17,21208,B,N,H,G,A,A,H,-,C,D,0,,Y,,,Y,,L,4,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6487693,35.27701577
4752515,2011,5/16/12,4006,3/30/11,755,54160,,3,5,4,4006,0,0,0,,0,,FOOTHILL,RT 1,450,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6696019,35.29407646
4752536,2011,4/20/12,4006,3/31/11,818,54160,,4,5,4,4006,0,0,0,,0,,FOOTHILL,PATRICIA,0,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,9,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.683502,35.294139
4752544,2011,4/20/12,4006,3/25/11,1609,54195,,5,5,4,4006,0,0,0,,0,,HIGUERA,TORO,120,E,N,A,-,N,,,,,,,,,,N,3,0,1,1,D,-,0,,,N,H,J,A,A,H,-,A,D,0,,Y,,,Y,,-,- ,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6576083,35.28300038
4755260,2011,7/12/12,4006,5/27/11,1712,89650,,5,5,4,4006,0,0,0,,0,,SACRAMENTO,ORCUTT,800,S,N,A,-,N,,,,,,,,,,Y,3,0,2,1,A,-,1,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,1,1,0,0,0,0,0,0,- ,- ,,,SAN LUIS OBISPO,SAN LUIS OBISPO,-120.6470633,35.25928242
