CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4750499,2011,1/15/13,4203,10/31/11,1140,8825,,1,5,5,4203,0,0,0,,0,4,CHAPALA ST,MICHELTORENA ST,204,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,9,21804,A,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,-,- ,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,-119.7099283,34.42550635
4752411,2011,6/8/12,4203,4/4/11,1300,4937,,1,5,5,4203,0,0,0,,0,,ANACAPA ST,CANON PERDIDO,120,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,-119.699145,34.42142617
4752419,2011,6/8/12,4203,4/4/11,1344,9645,,1,5,5,4203,0,0,0,,0,3,SANTA BARBARA,HALEY ST,0,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,34.419,-119.6932,SANTA BARBARA,SANTA BARBARA,-119.69324,34.41898
4752427,2011,6/8/12,4203,4/4/11,616,5726,,1,5,5,4203,0,0,0,,0,,BATH ST,SOLA ST,108,S,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,8,22107,,N,B,E,A,A,H,-,B,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,34.25184,-119.42362,SANTA BARBARA,SANTA BARBARA,-119.7101533,34.42189936
4752451,2011,6/8/12,4203,4/4/11,1552,5726,,1,5,5,4203,0,0,0,,0,4,MISSION ST,CHAPALA ST,225,E,N,A,-,N,,,,,,,,,,N,4,0,3,3,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,3,0,0,0,0,0,0,- ,- ,34.25488,-119.42551,SANTA BARBARA,SANTA BARBARA,-119.7153323,34.43026039
4752455,2011,6/8/12,4203,4/1/11,1317,SATHRE,,5,5,5,4203,0,0,0,,0,1,NOPAL ST,MONTECITO,213,N,N,A,-,N,,,,,,,,,,Y,4,0,1,4,A,-,9,21804,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,34.25245,-119.41023,SANTA BARBARA,SANTA BARBARA,,
4752459,2011,10/2/12,4203,4/6/11,1607,2717,SBSC,3,5,5,4203,0,0,0,,0,5,HOLLISTER,ROBIN HILL,132,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,0,,,N,C,C,A,A,H,-,A,D,0,,Y,,,Y,Y,-,- ,0,1,0,0,0,0,1,0,0,- ,- ,34.25561,-119.50388,SANTA BARBARA,SANTA BARBARA,,
4752516,2011,4/20/12,4203,3/30/11,1312,9645,,3,5,5,4203,0,0,0,,0,1,YANONALI ST,SOLEDAD ST,84,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,8,22107,,N,A,G,A,A,H,-,A,D,0,,Y,,,Y,Y,L,4,0,1,0,0,0,0,1,0,0,- ,- ,34.4271,-119.6776,SANTA BARBARA,SANTA BARBARA,-119.6779527,34.42685099
4984967,2011,5/25/12,9760,1/3/11,730,19628,,1,1,5,4203,0,1,2,,2,20,RT 101,STATE ST,412,N,N,A,-,Y,SB,5,101,-,-,18.01,H,-,N,Y,3,0,2,2,A,-,3,22350,,N,C,C,A,B,H,-,A,D,1,,,,,Y,,A,7,0,1,1,0,0,0,0,0,0,- ,- ,34.44079,-119.76394,SANTA BARBARA,SANTA BARBARA,-119.7538436,34.43893338
5007021,2011,5/1/12,9760,1/21/11,743,19292,,5,1,5,4203,0,1,2,,2,20,RT 101,RT 154,2640,N,N,A,-,Y,SB,5,101,-,-,18.86,H,-,S,Y,3,0,1,2,A,-,8,22107,,N,D,C,A,A,H,-,A,D,1,,,,Y,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,34.44083,-119.76874,SANTA BARBARA,SANTA BARBARA,-119.7691824,34.44085485
5037981,2011,6/7/12,4203,1/25/11,617,3599,,2,5,5,4203,0,0,0,,0,1,HALEY ST,SALSIPUEDES ST,0,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,B,A,0,,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,34.2523,-119.4119,SANTA BARBARA,SANTA BARBARA,-119.68874,34.42318
5042762,2011,5/1/12,9760,1/28/11,1455,19464,,5,2,5,4203,0,1,2,,2,11,RT 101,GARDEN ST,486,N,N,A,-,Y,SB,5,101,-,-,13.59,H,-,S,N,4,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,34.41699,-119.69087,SANTA BARBARA,SANTA BARBARA,-119.691283,34.41672932
5058376,2011,5/1/12,9760,1/14/11,1150,17674,,5,1,5,4203,0,1,2,,2,11,RT 101,CABRILLO BL,500,S,N,A,-,Y,SB,5,101,-,-,11.15,H,-,N,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,- ,NF,34.42136,-119.6505,SANTA BARBARA,SANTA BARBARA,-119.6492253,34.42110717
5062858,2011,4/9/12,9760,1/27/11,1724,18300,,4,2,5,4203,0,1,2,,2,11,RT 101,CABRILLO BL,100,N,N,A,-,Y,SB,5,101,-,-,11.43,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,D,D,1,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,34.43845,-119.85099,SANTA BARBARA,SANTA BARBARA,-119.6549917,34.42242322
5062866,2011,4/9/12,9760,1/27/11,815,17674,,4,1,5,4203,0,1,2,,2,11,RT 101,CASTILLO ST,40,N,N,A,-,Y,SB,5,101,-,R,14.22,H,-,S,Y,4,0,1,2,A,-,7,21658,A,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,- ,- ,34.4131,-119.70307,SANTA BARBARA,SANTA BARBARA,-119.6990924,34.41216485
5064661,2011,5/1/12,9760,1/17/11,1710,20181,,1,2,5,4203,0,1,2,,2,11,RT 101,MISSION ST,1056,N,N,A,-,Y,SB,5,101,-,R,15.93,H,-,N,Y,4,0,1,3,A,-,7,21658,A,N,B,C,A,A,H,-,B,D,1,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,34.42537,-119.71945,SANTA BARBARA,SANTA BARBARA,-119.7235141,34.42639026
5068724,2011,4/24/12,4203,1/14/11,1338,2264,30,5,5,5,4203,0,0,0,,0,4,WEST MISSION,RT 101,0,,Y,A,-,Y,SB,5,101,-,R,15.64,R,4,S,N,3,0,1,2,D,-,0,,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,-,- ,0,1,0,0,0,0,0,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,-119.7176824,34.42355484
5068727,2011,3/13/12,4203,1/25/11,1517,2720,,2,5,5,4203,0,0,0,,0,4,DE LA VINA,MISSION,40,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,-,-,- ,,,N,C,G,A,A,H,-,A,A,0,,Y,,,Y,,-,- ,0,0,1,0,0,0,1,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,,
5068728,2011,3/13/12,4203,1/20/11,748,3140,,4,5,5,4203,0,0,0,,0,3,GARDEN ST,PEDREGOSA ST,0,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,8,22107,,N,B,G,A,-,H,-,A,A,0,,Y,,,Y,,L,4,1,0,0,0,0,0,1,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,-119.71002,34.43313
5068736,2011,4/6/12,4203,1/21/11,1041,3769,,5,5,5,4203,0,0,0,,0,6,SAN ANDRES ST,MICHELTORENA ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA BARBARA,SANTA BARBARA,-119.71615,34.41881
