CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4751899,2011,5/24/12,4403,4/28/11,1101,841,224,4,5,4,4403,0,0,0,,0,2,WALKER ST,FORD ST,30,N,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7666019,36.9111176
4756486,2011,7/11/12,4403,5/10/11,1831,1427,526,2,5,4,4403,0,0,0,,0,5,HOLM RD,ANNA ST,999,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,11,21954,A,F,G,B,E,A,H,-,A,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.787203,36.9230605
5042816,2011,3/10/12,4403,1/24/11,905,2424,27-May,1,5,4,4403,0,0,0,,0,5,AIRPORT BL,WESTGATE DR,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21801,A,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.79637,36.92558
5042868,2011,3/10/12,4403,1/31/11,1947,1427,29-Apr,1,5,4,4403,0,0,0,,0,4,GREEN VALLEY RD,LAWRENCE AV,0,,Y,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,1,23152,A,M,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.77948,36.92621
5043112,2011,3/27/12,4403,2/2/11,1500,1427,438,3,5,4,4403,0,0,0,,0,4,BLANCA LN,FREEDOM BL,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,5,21202,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.76916,36.93124
5043137,2011,3/26/12,4403,2/1/11,1755,1427,539,2,5,4,4403,0,0,0,,0,5,AIRPORT BL,FREEDOM BL,208,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21804,A,M,D,C,A,A,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7782354,36.93783427
5043145,2011,4/24/12,4403,2/2/11,851,303,110,3,5,4,4403,0,0,0,,0,1,RIVERSIDE DR,UNION ST,9,E,N,A,-,Y,SCR,5,129,-,-,0.07,H,-,W,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,0,1,0,1,0,0,0,0,- ,- ,36.9078,-121.75243,SANTA CRUZ,WATSONVILLE,-121.7524239,36.90787353
5056660,2011,4/16/12,4403,2/6/11,849,5462,433,7,5,4,4403,0,0,0,,0,4,MILES LN,FREEDOM BL,356,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7627508,36.92248367
5070186,2011,3/7/12,4403,1/6/11,1308,7128,107,4,5,4,4403,0,0,0,,0,1,FREEDOM BL,MAIN ST,100,E,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,21,22106,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,7,0,0,2,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7624121,36.92401256
5070190,2011,3/7/12,4403,1/8/11,1054,7128,433,6,5,4,4403,0,0,0,,0,4,MARIN ST,SANTA CLARA ST,200,E,N,A,-,N,,,,,,,,,,Y,4,0,2,3,A,-,8,22107,,N,A,E,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7657621,36.92238441
5070194,2011,3/8/12,4403,1/4/11,659,841,539,2,5,4,4403,0,0,0,,0,5,AIRPORT BL,HOLM RD,180,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,9,21804,A,N,D,C,A,A,H,-,B,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7879595,36.93175356
5070202,2011,4/17/12,4403,1/5/11,1459,841,108,3,5,4,4403,0,0,0,,0,1,LAKE AV,UNION ST,0,,Y,A,-,Y,SCR,5,152,-,T,2.991,I,6,E,N,3,0,3,6,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,2,1,0,3,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.756063,36.91085496
5075042,2011,3/21/12,4403,1/18/11,2024,7240,539,2,5,4,4403,0,0,0,,0,5,GREEN VALLEY RD,CAREY AV,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,E,D,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7742,36.93419
5075062,2011,3/21/12,4403,1/18/11,1231,1427,526,2,5,4,4403,0,0,0,,0,5,GREEN VALLEY RD,MAIN ST,279,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7835974,36.91924214
5075861,2011,5/17/12,9720,1/27/11,1352,19790,,4,1,4,4403,0,1,3,,2,30,RT 1,HARKINS SLOUGH RD,792,N,N,A,-,Y,SCR,5,1,-,R,2.42,H,-,S,Y,3,0,1,1,A,-,8,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,36.916,-121.78842,SANTA CRUZ,WATSONVILLE,-121.7883561,36.91645326
5078177,2011,3/7/12,4403,1/29/11,1956,5695,539,6,5,4,4403,0,0,0,,0,5,GREEN VALLEY RD,CAREY AV,0,,Y,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,9,21802,A,N,D,C,A,B,H,-,D,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7742,36.93419
5078181,2011,3/7/12,4403,1/29/11,1432,7128,433,6,5,4,4403,0,0,0,,0,4,FREEDOM BL,CRESTVIEW DR,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.76458,36.92643
5084514,2011,4/14/12,4403,2/7/11,2031,343,224,1,5,4,4403,0,0,0,,0,2,PELICAN DR,KINGFISHER DR,150,W,N,A,-,N,,,,,,,,,,N,4,0,1,3,A,-,1,23152,B,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,7,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.7795312,36.9120064
5084538,2011,4/14/12,4403,2/11/11,1646,7128,434,5,5,4,4403,0,0,0,,0,4,SAN BENITO ST,ARTHUR RD,0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.76828,36.92125
5087258,2011,4/13/12,4403,3/1/11,1644,6980,13-Jan,2,5,4,4403,0,0,0,,0,1,BLACKBURN ST,BRIDGE ST,0,,Y,A,-,N,,,,,,,,,,N,4,0,3,3,A,-,3,22350,,N,C,C,B,A,H,-,A,A,0,Y,,,,Y,,-,- ,0,0,3,0,1,0,0,0,0,- ,- ,,,SANTA CRUZ,WATSONVILLE,-121.74628,36.91238
