X,Y,ReportType,PrmaryCollsionType,CaseNumber,UnitsInvolved,Location,OnHighway,CrossStreet,FeetFromIntersection,DirectionFromIntersection,CollisionDate,ReportedDate,ReportedYear,ReportedMonth,ReportedMonthName,ReportedWeek,ReportedDayofWeekNum,ReportedDayofMonth,ReportedDayofWeek,ReportedHour,HitAndRunStatus,LightingCondition,WeatherCondition,Severity,NumKilled,NumSeriouslyInjured,NumInjuredOrKilled,Lat,Lon,DUI,AlcoholDrugSuspected,BicyclesInvolved,PedestriansInvolved,RoadDescription,Crash_Time,ESRI_OID
-105.281326,40.013602,Police Collision Report,Counter Report,1710870,2,1001  ARAPAHOE AVE      ,1001 ARAPAHOE,,     ,  ,2017/08/24 00:00:00+00,2017/08/24 16:06:00+00,2017,8,August,16,5,24,Thursday,16,Motorway Collision,,,Property Damage Only,0,0,0,40.013602,-105.281326,0,0,0,0,,1415,1
-105.234237,39.986564,Police Collision Report,Counter Report,1711251,2,4920  TABLE MESA DR      ,PRIVATE PROPERTY,,     ,  ,2017/08/29 15:30:00+00,2017/08/29 15:42:00+00,2017,8,August,15,3,29,Tuesday,15,Motorway Collision,,,Property Damage Only,0,0,0,39.986564,-105.234237,0,0,0,0,,1530,2
-105.253829,40.032855,Police Collision Report,Counter Report,1711252,2,2995  GLENWOOD DR 304    ,PRIVATE PROPERTY,,     ,  ,2017/08/29 00:00:00+00,2017/08/29 15:49:00+00,2017,8,August,15,3,29,Tuesday,15,Motorway Collision,,,Property Damage Only,0,0,0,40.032855,-105.253829,0,0,0,0,,1410,3
-105.25074,40.0333,Police Collision Report,Counter Report,1711500,2,3250  ONEAL CIR      ,3250 ONEAL CIR,CITY ST/CNTY RD,     ,  ,2017/09/02 12:05:00+00,2017/09/02 12:44:00+00,2017,9,September,12,7,2,Saturday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.0333,-105.25074,0,0,0,0,,1245,4
-105.253684,40.031229,Police Collision Report,Counter Report,1711699,2,EAGLE WAY/30TH ST,30TH ST,CITY ST/CNTY RD,100,N ,2017/09/05 22:30:00+00,2017/09/05 22:23:00+00,2017,9,September,22,3,5,Tuesday,22,Motorway Collision,,,Property Damage Only,0,0,0,40.031229,-105.253684,0,0,0,0,,2230,5
-105.276465,40.009722,Police Collision Report,Counter Report,1709358,2,1325  BROADWAY      ,PRIVATE PROPERTY,,     ,  ,2017/07/25 00:00:00+00,2017/07/25 18:03:00+00,2017,7,July,18,3,25,Tuesday,18,Motorway Collision,,,Property Damage Only,0,0,0,40.009722,-105.276465,0,0,0,0,,1200,6
-105.283543,40.015889,Police Collision Report,Counter Report,1709407,2,1881  9TH ST      ,1881 9TH ST,,     ,  ,2017/07/26 00:00:00+00,2017/07/26 20:15:00+00,2017,7,July,20,4,26,Wednesday,20,Motorway Collision,,,Property Damage Only,0,0,0,40.015889,-105.283543,0,0,0,0,PARKING LOT,940,7
-105.258277,40.014693,Police Collision Report,Counter Report,1709629,2,1600  28TH ST      ,PRIVATE PROPERTY,,     ,  ,,2017/07/31 16:10:00+00,2017,7,July,16,2,31,Monday,16,Motorway Collision,,,Property Damage Only,0,0,0,40.014693,-105.258277,0,0,0,0,,1230,8
-105.227516,39.985783,Police Collision Report,Counter Report,1709715,2,5387  MANHATTAN CIR      ,5387 MANHATTAN CIRCLE,,     ,  ,,2017/08/02 09:39:00+00,2017,8,August,9,4,2,Wednesday,9,Motorway Collision,,,Property Damage Only,0,0,0,39.985783,-105.227516,0,0,0,0,,845,9
-105.258306,40.022242,Police Collision Report,Counter Report,1710015,2,2800  PEARL ST      ,28TH ST,,     ,  ,2017/08/04 00:00:00+00,2017/08/08 15:12:00+00,2017,8,August,15,3,8,Tuesday,15,Motorway Collision,,,Property Damage Only,0,0,0,40.022242,-105.258306,0,0,0,0,PARKING LOT,1730,10
-105.28125,40.021742,Police Collision Report,Counter Report,1710126,1,2346  BROADWAY      ,2346 BROADWAY,,     ,  ,2017/08/10 00:00:00+00,2017/08/10 10:13:00+00,2017,8,August,10,5,10,Thursday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.021742,-105.28125,0,0,0,0,,1030,11
