Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2.01283E+12,2012,827414020,CH12-04-000673,CITY POLICE DEPARTMENT,04 FOURTH,BROWARD,17-Apr-12,1217,WEDNESDAY,8638 FT. LAUDERDALE,1038,Y,SE 6TH CT,SE 3RD AVE,0.038,W,0,0,26.113922,-80.140839,86A09060,0.083,,,,,,N NORTH,,05 LOCAL,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,0,31-Dec-00,,,,0,,0,,0,,,RCI,0,,,1 NO INJURY,33 Q/C VERIFIED AS OFF-SYSTEM,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, NOT DIVIDED","TWO-WAY, NOT DIVIDED",NO CONTROLS,NO CONTROLS,,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,06 REAR TO SIDE,04 BACKING,IMPROPER BACKING,IMPROPER BACKING,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,26.11391955,-80.14083892,585901.7231,2888583.308,C,U,ARBM15Q1R2,26-Feb-22,1665,-8921237.678,3013197.814
2.01283E+12,2012,827444110,CH12-03-000024,CITY POLICE DEPARTMENT,04 FOURTH,BROWARD,29-Feb-12,930,THURSDAY,8638 FT. LAUDERDALE,1038,Y,S ANDREWS AVE,SE 6TH ST,0,S,0,0,26.114746,-80.143268,86033500,1.921,,,,,,S SOUTH,,03 STATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,0,31-Dec-00,,,,0,,0,,0,,,RCI,0,,,1 NO INJURY,33 Q/C VERIFIED AS OFF-SYSTEM,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, NOT DIVIDED","TWO-WAY, NOT DIVIDED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,07 REAR TO REAR,01 STRAIGHT AHEAD,FOLLOWED TOO CLOSELY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,4,0,4,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.11474523,-80.14326733,585658.3105,2888673.154,C,U,ARBM15Q1R2,26-Feb-22,2608,-8921508.007,3013300.178
2.01283E+12,2012,831959420,FHPL12OFF065885,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,24-Oct-12,2136,THURSDAY,8638 FT. LAUDERDALE,1038,N,SR 9,SR 842,0.095,N,26.12302,-80.1689933,26.1231487,-80.1687038,86070000,10.381,5177,SR 9,I 95,L LEFT,1 THRU LANE 1,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,41,2-Dec-08,11 URBAN PRIN ART INT.,64,PAVED WARN,10,VALLEY GUTR,12,,0,90,294000,RCI,5.3,,65,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,1 ALC,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,3,0,3,4,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.12308075,-80.16912065,583067.4214,2889579.577,L,,ARBM15Q1R2,26-Feb-22,14082,-8924385.987,3014333.616
2.01283E+12,2012,832127240,FHPL12OFF063311,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,13-Oct-12,38,SUNDAY,8638 FT. LAUDERDALE,1038,Y,SR 9,SR 838,0.25,S,26.130665,-80.16911,26.1325842,-80.1692194,86070000,11.032,1888,SR 9,I 95,R RIGHT,S SIDE OF ROAD,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,36,2-Dec-08,11 URBAN PRIN ART INT.,64,PAVED WARN,10,VALLEY GUTR,3,,0,27,294000,RCI,5.3,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,27 GUARDRAIL FACE,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.13254956,-80.169225,583050.2924,2890628.208,R,,ARBM15Q1R2,26-Feb-22,14104,-8924397.603,3015507.65
2.01283E+12,2012,831625110,FHPL12OFF055185,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,6-Sep-12,1335,FRIDAY,8638 FT. LAUDERDALE,1038,Y,SR 9,SR 736,0.4,N,26.1124233,-80.1690716,26.1126122,-80.1685599,86070000,9.655,4528,SR 9,I 95,L LEFT,5 THRU LANE 5,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,41,2-Dec-08,11 URBAN PRIN ART INT.,52,PAVED WARN,10,LAWN,12,,0,18,287000,RCI,6.8,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,8,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,OPERATED MV IN CARLESS OR NEGL,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,26.11255172,-80.16891273,583095.656,2888413.591,L,,ARBM15Q1R2,26-Feb-22,14105,-8924362.841,3013028.238
2.01283E+12,2012,831991080,FHPL12OFF070816,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,17-Nov-12,301,SUNDAY,8638 FT. LAUDERDALE,1038,Y,SR 9,BROWARD BLVD,0.25,S,26.1070616,-80.1683349,26.1178412,-80.1685672,86070000,10.015,5898,SR 9,I 95,R RIGHT,1 THRU LANE 1,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,41,2-Dec-08,11 URBAN PRIN ART INT.,64,PAVED WARN,10,LAWN,3,,0,75,287000,RCI,6.8,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,6,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.11780338,-80.16855055,583128.1545,2888995.458,R,,ARBM15Q1R2,26-Feb-22,14112,-8924322.523,3013679.319
2.01283E+12,2012,832286130,FHPL12OFF070650,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,16-Nov-12,1327,SATURDAY,8638 FT. LAUDERDALE,1038,Y,I 95,SR 870,0.417,S,26.1716302,-80.155398,26.1817842,-80.1527865,86070000,14.637,5048,SR 9,I 95,R RIGHT,5 THRU LANE 5,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,31,2-Dec-08,11 URBAN PRIN ART INT.,52,PAVED WARN,8,,3,,0,27,256000,RCI,6.5,2D0000,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,9,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,NOT CODED,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,2,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.18176292,-80.15279618,584657.1778,2896089.356,R,,ARBM15Q1R2,26-Feb-22,14115,-8922568.754,3021611.126
2.01283E+12,2012,832497790,FHPL12OFF071021,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,18-Nov-12,801,MONDAY,8638 FT. LAUDERDALE,1038,Y,I 95,SR 842,0.5,S,26.1169583,-80.1687466,26.1142102,-80.1685797,86070000,9.765,1568,SR 9,I 95,L LEFT,2 THRU LANE 2,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,41,2-Dec-08,11 URBAN PRIN ART INT.,64,PAVED WARN,10,LAWN,3,,0,75,287000,RCI,6.8,1D0000,65,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,9,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,3,0,0,0,4,0,4,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,26.11414603,-80.16903252,583082.5516,2888590.089,L,,ARBM15Q1R2,26-Feb-22,14119,-8924376.176,3013225.892
2.01283E+12,2012,832508160,FHPL12OFF073184,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,27-Nov-12,1808,WEDNESDAY,8638 FT. LAUDERDALE,1038,N,SR 9,OAKLAND PARK BLVD,0.25,S,26.1631716,-80.1618083,26.1621785,-80.1623166,86070000,13.16,1535,SR 9,I 95,L LEFT,2 THRU LANE 2,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,36,2-Dec-08,11 URBAN PRIN ART INT.,64,PAVED WARN,8,VALLEY GUTR,3,,0,27,262000,RCI,6.8,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,06 BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.16213064,-80.16264594,583686.9101,2893908.626,L,,ARBM15Q1R2,26-Feb-22,14120,-8923665.225,3019176.008
2.01283E+12,2012,831595600,FHPL12OFF043356,FLORIDA HIGHWAY PATROL,04 FOURTH,BROWARD,16-Jul-12,449,TUESDAY,8638 FT. LAUDERDALE,1038,Y,SR 9,SR 736,0.5,S,26.1007277,-80.1688057,26.0991869,-80.1687442,86070000,8.73,1504,SR 9,I 95,M MEDIAN,M MIDDLE,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,41,2-Dec-08,11 URBAN PRIN ART INT.,52,PAVED,8,VALLEY GUTR,3,,0,22,299000,RCI,6.8,,65,0 UNKNOWN/NOT CODED,31 Q/C COMPLETED - LOC VERIFIED,0 NO,06 BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,8,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),06 CHANGING LANES,NOT CODED,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,0,0,1,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.09914719,-80.16873981,583122.4249,2886929.117,R,,ARBM15Q1R2,26-Feb-22,14122,-8924343.591,3011366.529
