Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2021247438760,2021,247438760,2021-00384108,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"November 13, 2021",2205,SUNDAY,7546 ORLANDO,0746,Y,SR 400,JOHN YOUNG PKWY,0.028,N,0,0,28.508652,-81.4177387,75280000,13.73,04196,SR 400,I 4,M MEDIAN,M MIDDLE,W WEST,01 INTERSTATE URBAN,01 INTERSTATE,17 ACCELERATION/DECELERATION LANE,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,35,"September 16, 2014",11 URBAN PRIN ART INT.,36,PAVED WARN,12,LAWN,12,,0,142,164000,RCI,3,2D0000,55,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,03 INFLUENCED BY INTERSECTION,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",01 STRAIGHT AHEAD,RAN OFF ROADWAY,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,1,0,1,1,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.508685399,-81.417762386,459118.853546,3153625.288047,R,,ARBM15Q1R2,"January 7, 2023",2862714,-9063384.197570741,3313260.757726771
2021883764420,2021,883764420,FHPK21OFF032758,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"June 22, 2021",2135,WEDNESDAY,7546 ORLANDO,0746,N,SR 91,SR 417,2,N,28.3647099,-81.3890499,28.3970172,-81.3912556,75470000,3.45,03307,SR 91,,L LEFT,1 THRU LANE 1,S SOUTH,03 TOLL ROAD URBAN,03 STATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,30,"March 15, 2017",12 URBAN PRIN ART EXPR.,24,PAVED WARN,10,LAWN,12,,0,40,72400,RCI,20.7,,70,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,05 DARK-NOT LIGHTED,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,4,"RD SURFC (WET, ICY, SNOW, ETC)",NONE,NOT CODED,WEATHER CONDITIONS,NONE,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,02 FRONT TO FRONT,01 STRAIGHT AHEAD,DROVE TOO FAST FOR CONDITIONS,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,3,0,3,4,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.396925112,-81.391462887,461652.17374,3141235.374693,L,,ARBM15Q1R2,"January 7, 2023",2862726,-9060456.549455969,3299110.4329208448
2021884022800,2021,884022800,FHPK21OFF019258,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"April 18, 2021",1000,MONDAY,7546 ORLANDO,0746,N,SR 91,I 4,3,N,28.49677,-81.4713399,28.5057732,-81.487373,75470000,13.436,08893,SR 91,,L LEFT,S SIDE OF ROAD,S SOUTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,34,"July 28, 2021",12 URBAN PRIN ART EXPR.,48,PAVED WARN,8,VALLEY GUTR,3.5,,0,26,112000,RCI,20.7,,70,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,8,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,WEATHER CONDITIONS,NOT CODED,NOT CODED,27 GUARDRAIL FACE,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,DROVE TOO FAST FOR CONDITIONS,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.505572557,-81.487520305,452291.039684,3153306.170587,L,,ARBM15Q1R2,"January 7, 2023",2862731,-9071149.615740055,3312866.4279706203
2021882302780,2021,882302780,FHPK21OFF007539,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"February 14, 2021",1513,MONDAY,7546 ORLANDO,0746,N,SR 528,SR 91,2,E,28.4457865,-81.3757666,28.4453302,-81.3793669,75471000,6.336,04404,SR 528,,L LEFT,4 THRU LANE 4,W WEST,03 TOLL ROAD URBAN,03 STATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,38,"October 27, 2020",12 URBAN PRIN ART EXPR.,48,PAVED WARN,10,LAWN,12,,0,28,74000,RCI,11,1D3000,55,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,8,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,77 OTHER (SEE NARRATIVE),06 CHANGING LANES,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,3,0,3,7,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,28.445641919,-81.378826978,462906.98548,3146628.425232,L,,ARBM15Q1R2,"January 7, 2023",2863314,-9059049.926148076,3305276.783891312
2021882302800,2021,882302800,FHPK21OFF009854,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"February 26, 2021",2007,SATURDAY,7546 ORLANDO,0746,N,SR 91,SR 528,1,S,28.4057333,-81.3913706,28.4240568,-81.3959499,75470000,5.38,08810,SR 91,,M MEDIAN,M MIDDLE,N NORTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,30,"March 15, 2017",12 URBAN PRIN ART EXPR.,24,PAVED WARN,10,LAWN,12,,0,40,72400,RCI,20.7,1D0000,70,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,05 DARK-NOT LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NOT CODED,03 TRANSITION AREA,03 WORK ON SHOULDER OR MEDIAN,01 NO,01 NO,01 NO,0,0,0,0,1,0,1,1,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.424037185,-81.39590314,461227.076025,3144240.359125,R,,ARBM15Q1R2,"January 7, 2023",2863315,-9060950.836366724,3302541.8051431645
2021884068240,2021,884068240,FHPD21OFF001625,FLORIDA HIGHWAY PATROL,05 FIFTH,ORANGE,"January 7, 2021",0320,FRIDAY,7546 ORLANDO,0746,N,SR 423,EDGEWATER DR,0.324,S,28.60667,-81.41853,28.6006647,-81.4111335,75190000,6.828,06213,SR 423,,R RIGHT,S SIDE OF ROAD,N NORTH,30 URBAN 6+LN 2WY DIVD RASD,03 STATE,01 NON-JUNCTION,02 OFF ROADWAY,01 NOT AT INTERSECTION,03 CURB,37,"September 8, 2019",14 URBAN PRIN ART OTHER,33,CURB&GUTTER,2,,0,,0,16,22500,RCI,4.3,,45,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,1 ALC,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,6,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,24 CURB,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.60068389,-81.410877455,459827.538567,3163815.078059,R,,ARBM15Q1R2,"January 7, 2023",2863321,-9062617.770602899,3324920.230904694
2021884232880,2021,884232880,FHPK21OFF057983,FLORIDA HIGHWAY PATROL,05 FIFTH,ORANGE,"October 20, 2021",2245,THURSDAY,7546 ORLANDO,0746,N,SR 417,SR 91,1,S,28.3683931,-81.3755623,28.3723355,-81.4041361,75301000,4.956,03161,SR 417,,R RIGHT,2 THRU LANE 2,S SOUTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,36,"November 12, 2019",12 URBAN PRIN ART EXPR.,36,PAVED WARN,6,VALLEY GUTR,3.5,,0,65,66500,RCI,6.4,,70,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,4,WORK ZONE (CONST/MNT/UTLTY)NTE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,19 IMPACT ATTENUATOR/CRASH CUSION,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,FAILED TO KEEP IN PROPER LANE,NOT CODED,04 ACTIVITY AREA,01 LANE CLOSURE,01 NO,01 NO,01 NO,0,0,0,0,1,0,1,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.372362037,-81.404179703,460397.293608,3138518.320331,R,,ARBM15Q1R2,"January 7, 2023",2863347,-9061872.179247955,3296002.426071167
2021883953230,2021,883953230,FHPK21OFF023600,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"May 10, 2021",1512,TUESDAY,7546 ORLANDO,0746,N,SR 91,HIAWASSEE RD S,0.5,N,28.4990662,-81.4777707,28.5077972,-81.4900833,75470000,13.652,04855,SR 91,,L LEFT,2 THRU LANE 2,S SOUTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,34,"July 28, 2021",12 URBAN PRIN ART EXPR.,48,PAVED WARN,12,VALLEY GUTR,0,,0,26,112000,RCI,20.7,,70,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,8,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,WEATHER CONDITIONS,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,77 OTHER (SEE NARRATIVE),77 OTHER (SEE NARRATIVE),DROVE TOO FAST FOR CONDITIONS,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,2,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,28.507584947,-81.490238097,452025.982184,3153530.197437,L,,ARBM15Q1R2,"January 7, 2023",2863350,-9071452.159065155,3313121.3527087006
2021885713900,2021,885713900,FHPD21OFF079017,FLORIDA HIGHWAY PATROL,05 FIFTH,ORANGE,"September 30, 2021",2005,FRIDAY,7546 ORLANDO,0746,N,SOUTHLAND BLVD,SAND LAKE RD,0.002,N,28.4502799,-81.4071799,28.4503786,-81.4069168,75002000,4.238,01690,SR 482,,T SIDE RD LEFT,L LEFT TURN,S SOUTH,33 SUBURBAN 6+LN 2WY DIVD RASD,04 COUNTY,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,03 CURB,36,"March 3, 2020",16 URBAN MINOR ART,35,PAVED,4,LAWN,6,,0,40,41500,RCI,4.3,,45,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,03 INFLUENCED BY INTERSECTION,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,STOP SIGN,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",05 TURNING RIGHT,IMPROPER TURN,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,2,0,2,2,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.450514679,-81.407008343,460149.396475,3147177.262506,L,,ARBM15Q1R2,"January 7, 2023",2863379,-9062187.062292872,3305893.711768412
2021884969000,2021,884969000,FHPK21OFF034755,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"July 1, 2021",1701,FRIDAY,7546 ORLANDO,0746,N,SR 91,ORANGE BLOSSOM TRL,0,,28.4334934,-81.406279,28.4269605,-81.4004032,75470142,0.818,03715,SR 91,,L LEFT,X RAMP,S SOUTH,08 RAMP RURAL,02 U.S.,01 NON-JUNCTION,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,16,RAISED CURB,5,CURB&GUTTER,2,,0,,6600,RCI,11,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,08 EXIT RAMP,01 DAYLIGHT,02 CLOUDY,02 WET,01 LEVEL,3 CURVE LEFT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,1,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,31 OTHER TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),15 NEGOTIATING A CURVE,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.426932948,-81.400405811,460787.168454,3144562.620575,O,,ARBM15Q1R2,"January 7, 2023",2863400,-9061452.071536094,3302908.3522009617
