Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2021245761950,2021,245761950,2021-363250,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"August 25, 2021",0115,THURSDAY,1050 TAMPA,0350,Y,HILLSBOROUGH AVE W,FLORIDA AVE,0,,27.996089,-82.459476,27.9960967,-82.4593894,10150000,12.345,01162,SR 600,US 92,R RIGHT,1 THRU LANE 1,N NORTH,20 URBAN 4-5LN 2WY DIVD RASD,05 LOCAL,03 INTERSECTION-RELATED,01 ON ROADWAY,02 FOUR-WAY INTERSECTION,03 CURB,36,"February 15, 2021",14 URBAN PRIN ART OTHER,24,PAVED,4,CURB&GUTTER,2,,0,20,50500,RCI,6.5,,40,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,1 ALC,02 AT INTERSECTION,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, NOT DIVIDED","TWO-WAY, DIVIDED, POSITIVE MED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,03 ANGLE,01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,2,0,0,0,2,0,2,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.996085708,-82.459370197,356497.113687,3097626.765558,R,,ARBM15Q1R2,"January 7, 2023",2862688,-9179335.480389738,3248480.949650437
2021245738830,2021,245738830,2021-291743,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"July 6, 2021",1043,WEDNESDAY,1050 TAMPA,0350,Y,SR 589,SR 60,0.149,N,27.959276,-82.539547,27.9592971,-82.5394915,10270118,0.149,06636,SR 60,,R RIGHT,X RAMP,N NORTH,08 RAMP RURAL,03 STATE,01 NON-JUNCTION,10 ROADSIDE,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,23,PAVED WARN,13,VALLEY GUTR,4,,0,,27500,RCI,8.9,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,07 ENTRANCE RAMP,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,3 CURVE LEFT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,2,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,27 GUARDRAIL FACE,00 NOT CODED,15 NEGOTIATING A CURVE,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.959282107,-82.539500785,348565.253912,3093645.855399,O,,ARBM15Q1R2,"January 7, 2023",2862689,-9188255.579083083,3243841.8161552926
2021245744630,2021,245744630,2021-309851,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"July 19, 2021",1649,TUESDAY,1050 TAMPA,0350,Y,SR 574,I 275,0,,27.981408,-82.454171,27.9814283,-82.4540443,10340000,3.134,03114,SR 574,,R RIGHT,2 THRU LANE 2,S SOUTH,20 URBAN 4-5LN 2WY DIVD RASD,03 STATE,02 INTERSECTION,01 ON ROADWAY,02 FOUR-WAY INTERSECTION,03 CURB,38,"February 15, 2021",14 URBAN PRIN ART OTHER,24,CURB&GUTTER,2,,0,,0,17,32000,RCI,3.3,,35,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,02 AT INTERSECTION,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, NOT DIVIDED","TWO-WAY, NOT DIVIDED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,03 ANGLE,03 TURNING LEFT,FAILED TO YIELD RIGHT-OF-WAY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,4,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.981474819,-82.454033323,357002.679405,3096001.686262,C,,ARBM15Q1R2,"January 7, 2023",2862702,-9178741.381999958,3246639.042015469
2021884150370,2021,884150370,FHPC21OFF004308,FLORIDA HIGHWAY PATROL,07 SEVENTH,HILLSBOROUGH,"January 13, 2021",1300,THURSDAY,1050 TAMPA,0350,N,SR 618,US 301,1,W,27.9499099,-82.3690299,27.9412758,-82.3604901,10002000,11.936,02900,SR 618,,M MEDIAN,M MIDDLE,W WEST,03 TOLL ROAD URBAN,01 INTERSTATE,01 NON-JUNCTION,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,43,"May 19, 2020",12 URBAN PRIN ART EXPR.,36,PAVED,8,VALLEY GUTR,4,,0,164,73000,RCI,7.1,,65,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,03 UPHILL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,27.941235375,-82.360475685,366154.996004,3091437.409691,R,,ARBM15Q1R2,"January 7, 2023",2862775,-9168326.59025963,3241567.585014209
2021245790730,2021,245790730,2021-450599,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"October 23, 2021",0027,SUNDAY,1050 TAMPA,0350,Y,50TH ST N,COLUMBUS DR,0.055,S,27.964181,-82.401927,27.9658606,-82.4016491,10060000,26.51,02482,SR 599,US 41,L LEFT,S SIDE OF ROAD,N NORTH,30 URBAN 6+LN 2WY DIVD RASD,05 LOCAL,18 THROUGH ROADWAY,02 OFF ROADWAY,01 NOT AT INTERSECTION,03 CURB,35,"October 1, 2019",14 URBAN PRIN ART OTHER,36,PAVED,4,CURB&GUTTER,2,,0,24,36500,RCI,15.9,,40,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,1 ALC,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,37 FENCE,00 NOT CODED,88 UNKNOWN,RAN OFF ROADWAY,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.965871022,-82.401699214,362130.239324,3094212.689564,C,,ARBM15Q1R2,"January 7, 2023",2863228,-9172915.573973227,3244672.240069331
2021245795860,2021,245795860,2021-465114,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"November 2, 2021",1103,WEDNESDAY,1050 TAMPA,0350,Y,50TH ST S,SR 618,0,,27.949495,-82.401625,27.949363,-82.4016097,10060000,25.372,02889,SR 599,US 41,R RIGHT,3 THRU LANE 3,S SOUTH,33 SUBURBAN 6+LN 2WY DIVD RASD,03 STATE,02 INTERSECTION,01 ON ROADWAY,02 FOUR-WAY INTERSECTION,03 CURB,39,"October 1, 2019",14 URBAN PRIN ART OTHER,33,PAVED,8,LAWN,4,,0,28,39000,RCI,14.5,,40,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,02 AT INTERSECTION,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, NOT DIVIDED","TWO-WAY, NOT DIVIDED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,5,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,03 ANGLE,03 TURNING LEFT,FAILED TO YIELD RIGHT-OF-WAY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.949377126,-82.401640089,362115.093028,3092385.212082,C,,ARBM15Q1R2,"January 7, 2023",2863229,-9172908.992105111,3242593.5533685475
2021245778280,2021,245778280,2021-412592,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"September 27, 2021",0604,TUESDAY,1050 TAMPA,0350,Y,I 275,TAMPA ST N,0.089,E,27.956778,-82.463328,27.9568127,-82.4625525,10190183,0.099,05342,SR 93,I 275,L LEFT,X RAMP,W WEST,07 RAMP URBAN,01 INTERSTATE,18 THROUGH ROADWAY,02 OFF ROADWAY,04 Y-INTERSECTION,01 PAVED,0,"December 31, 2000",,12,PAVED,2,VALLEY GUTR,4,LAWN,12,,15000,RCI,6.2,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,07 ENTRANCE RAMP,04 DARK-LIGHTED,01 CLEAR,01 DRY,03 UPHILL,2 CURVE RIGHT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,1,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,28 GUARDRAIL END,00 NOT CODED,15 NEGOTIATING A CURVE,OPERATED MV IN CARLESS OR NEGL,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,27.956801968,-82.46255374,356131.900714,3093278.067943,O,,ARBM15Q1R2,"January 7, 2023",2863231,-9179689.870663548,3243529.249106006
2021245758820,2021,245758820,2021-353068,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"August 18, 2021",1326,THURSDAY,1050 TAMPA,0350,Y,FLORIDA AVE N,FRANCES AVE E *,0.029,N,27.965457,-82.459442,27.9654279,-82.4594465,10020000,1.229,01119,SR 685,USB 41,R RIGHT,3 THRU LANE 3,N NORTH,40 URBAN ONE WAY,05 LOCAL,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,03 CURB,41,"February 14, 2021",16 URBAN MINOR ART,30,RAISED CURB,5,RAISED CURB,0,,0,,9700,RCI,5.7,,35,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,03 INFLUENCED BY INTERSECTION,01 DAYLIGHT,02 CLOUDY,01 DRY,01 LEVEL,1 STRAIGHT,ONE-WAY TRAFFICWAY,ONE-WAY TRAFFICWAY,NO CONTROLS,NO CONTROLS,3,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,03 ANGLE,06 CHANGING LANES,IMPROPER TURN,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,2,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.965535025,-82.459446597,356449.139121,3094241.990142,O,,ARBM15Q1R2,"January 7, 2023",2863232,-9179343.985107303,3244629.8917782977
2021245763790,2021,245763790,2021-368131,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"August 28, 2021",0100,SUNDAY,1050 TAMPA,0350,Y,I 275,BIRD ST,0.077,S,28.019774,-82.455174,28.0213231,-82.455451,10320000,4.21,02785,SR 93,I 275,L LEFT,S SIDE OF ROAD,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,18 THROUGH ROADWAY,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,26,"February 14, 2021",11 URBAN PRIN ART INT.,36,PAVED WARN,8,VALLEY GUTR,4,,0,46,163000,RCI,6.2,,55,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",06 CHANGING LANES,FAILED TO KEEP IN PROPER LANE,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,2,0,2,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,28.021083929,-82.455670009,356894.056986,3100392.106955,L,,ARBM15Q1R2,"January 7, 2023",2863233,-9178923.577271068,3251632.9054545844
2021245773350,2021,245773350,2021-396257,COUNTY SHERIFF'S OFFICE,07 SEVENTH,HILLSBOROUGH,"September 16, 2021",0130,FRIDAY,1050 TAMPA,0350,Y,BUSCH BLVD E,50TH ST N,0.057,W,28.03278,-82.400547,28.0325574,-82.4026737,10310000,6.301,05756,SR 580,,L LEFT,S SIDE OF ROAD,W WEST,30 URBAN 6+LN 2WY DIVD RASD,05 LOCAL,88 UNKNOWN,02 OFF ROADWAY,01 NOT AT INTERSECTION,03 CURB,35,"October 2, 2019",14 URBAN PRIN ART OTHER,36,CURB&GUTTER,2,,0,,0,16,39500,RCI,3.4,,45,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,6,UNKNOWN,NONE,NOT CODED,NONE,NOT CODED,NOT CODED,33 UTILITY POLE/LIGHT SUPPORT,00 NOT CODED,01 STRAIGHT AHEAD,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.032619542,-82.40266398,362120.346079,3101609.101832,C,,ARBM15Q1R2,"January 7, 2023",2863238,-9173022.971445143,3253087.645548976
