Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2015845128150,2015,845128150,FHPL15OFF039963,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"June 24, 2015",0109,THURSDAY,9394 WEST PALM BEACH,0694,N,I 95,BLUE HERON BLVD,0.1,S,26.7798573,-80.0986883,26.7816893,-80.0990096,93220000,32.874,02376,SR 9,I 95,M MEDIAN,M MIDDLE,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,34,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,11,,0,,0,32,214000,RCI,7.4,2D0000,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,RAN OFF ROADWAY,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.78155503,-80.099030717,589564.121097,2962558.146514,R,,ARBM15Q1R2,"February 27, 2022",843074,-8916583.610822462,3096206.961496291
2015845128170,2015,845128170,FHPL15OFF041846,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"July 2, 2015",0341,FRIDAY,9394 WEST PALM BEACH,0694,N,I 95,45TH ST,0.1,N,26.7607099,-80.0921183,26.7581886,-80.0906926,93220000,31.171,05030,SR 9,I 95,L LEFT,4 THRU LANE 4,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,34,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,10,,0,,0,32,214000,RCI,7.4,1D1500,65,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.758012748,-80.090935734,590387.508844,2959956.238994,L,,ARBM15Q1R2,"February 27, 2022",843075,-8915682.481117617,3093271.6494370075
2015845128200,2015,845128200,FHPL15OFF043492,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"July 9, 2015",2358,FRIDAY,9394 WEST PALM BEACH,0694,N,I 95,OKEECHOBEE BLVD,0.5,N,26.7107267,-80.0790117,26.7096407,-80.0782237,93220000,27.491,01225,SR 9,I 95,R RIGHT,4 THRU LANE 4,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,78,PAVED WARN,10,LAWN,12,,0,32,197639,RCI,6.6,0D5000,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,11,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",06 CHANGING LANES,FAILED TO YIELD RIGHT-OF-WAY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,26.709492519,-80.078134081,591699.33341,2954591.120346,R,,ARBM15Q1R2,"February 27, 2022",843077,-8914257.407038089,3087223.9397301
2015844985200,2015,844985200,FHPL15OFF023948,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"April 16, 2015",0715,FRIDAY,9394 WEST PALM BEACH,0694,N,SR 9,SR 704,0.189,S,26.7048116,-80.075835,26.7164435,-80.0876828,93220068,0.189,01223,SR 9,I 95,L LEFT,X RAMP,S SOUTH,07 RAMP URBAN,01 INTERSTATE,01 NON-JUNCTION,02 OFF ROADWAY,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,23,PAVED,13,,0,,0,,12500,RCI,5.9,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,07 ENTRANCE RAMP,01 DAYLIGHT,03 RAIN,02 WET,04 DOWNHILL,3 CURVE LEFT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,2,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,WEATHER CONDITIONS,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,88 UNKNOWN,15 NEGOTIATING A CURVE,DROVE TOO FAST FOR CONDITIONS,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.716453277,-80.087672904,590744.925421,2955355.288506,O,,ARBM15Q1R2,"February 27, 2022",843096,-8915319.264332471,3088091.3914941372
2015845394970,2015,845394970,FHPL15OFF008979,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 11, 2015",1040,THURSDAY,9394 WEST PALM BEACH,0694,Y,I 95,BELVEDERE RD,0.095,N,26.689834,-80.0670714,26.688541,-80.066823,93220000,25.843,05231,SR 9,I 95,L LEFT,3 THRU LANE 3,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED,10,,0,,0,32,222000,RCI,6,3D0000,65,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,2 CURVE RIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",06 CHANGING LANES,IMPROPER PASSING,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.688270673,-80.067321705,592792.106277,2952248.343404,L,,ARBM15Q1R2,"February 27, 2022",843230,-8913053.778390449,3084579.5943229343
2015845000090,2015,845000090,FHPL15OFF015278,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"March 10, 2015",1054,WEDNESDAY,9394 WEST PALM BEACH,0694,N,I 95,BLUE HERON BLVD,0.022,N,26.78331,-80.0978999,26.7829888,-80.098092,93220078,0.217,05293,SR 9,I 95,R RIGHT,X RAMP,N NORTH,07 RAMP URBAN,01 INTERSTATE,14 ENTRANCE/EXIT RAMP,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,24,RAISED CURB,0,,0,,0,,14500,RCI,8,,,2 POSSIBLE INJURY,32 Q/C NOT TO BE DONE ON CRASH,0 NO,08 EXIT RAMP,01 DAYLIGHT,02 CLOUDY,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,2,0,0,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,26.783018184,-80.098110439,589654.4596,2962720.86,O,,ARBM15Q1R2,"February 27, 2022",843434,-8916481.165903961,3096389.4114971026
2015845166390,2015,845166390,FHPK15OFF011802,FLORIDA HIGHWAY PATROL,08 TURNPIKE,PALM BEACH,"March 5, 2015",1010,FRIDAY,9394 WEST PALM BEACH,0694,N,SR 91,BEELINE HWY,0,,26.7941399,-80.13168,26.7988427,-80.1313771,93470170,0,04819,SR 91,,R RIGHT,X RAMP,N NORTH,08 RAMP RURAL,06 TURNPIKE/TOLL,01 NON-JUNCTION,01 ON ROADWAY,77 OTHER (SEE NARRATIVE),02 UNPAVED,0,"December 31, 2000",,16,PAVED WARN,4,LAWN,10,,0,,5000,RCI,12.3,,,4 INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,08 EXIT RAMP,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,1,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,18 OTHER NON-FIXED OBJECT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,1,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,26.7988444,-80.13138367,586334.7217,2964450.7963,O,,ARBM15Q1R2,"February 27, 2022",843813,-8920185.126154074,3098363.0322563555
2015845166400,2015,845166400,FHPK15OFF018466,FLORIDA HIGHWAY PATROL,08 TURNPIKE,PALM BEACH,"April 5, 2015",0845,MONDAY,9394 WEST PALM BEACH,0694,N,SR 91,MILE MARKER #103,3,N,26.75113,-80.1343099,26.7935243,-80.1317084,93470000,32.82,01454,SR 91,,R RIGHT,S SIDE OF ROAD,N NORTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,03 SHOULDER,01 NOT AT INTERSECTION,02 UNPAVED,33,"June 4, 2014",12 URBAN PRIN ART EXPR.,24,PAVED WARN,8,VALLEY GUTR,3.5,,0,20,64800,RCI,12.3,,70,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,27 GUARDRAIL FACE,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,26.793438298,-80.131703369,586307.03552,2963851.779769,R,,ARBM15Q1R2,"February 27, 2022",843814,-8920220.71496316,3097688.829067958
2015845183450,2015,845183450,FHPL15OFF006939,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 2, 2015",0700,TUESDAY,9394 WEST PALM BEACH,0694,N,I 95,45TH ST,0.473,N,26.7414915,-80.0903449,26.7633059,-80.0926819,93220000,31.544,01191,SR 9,I 95,R RIGHT,S SIDE OF ROAD,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,02 OFF ROADWAY,01 NOT AT INTERSECTION,01 PAVED,34,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,10,LAWN,12,,0,32,214000,RCI,7.4,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,32 TREE (STANDING),77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,SWERVED OR AVOIDED:  DUE TO WI,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.763176312,-80.092634822,590214.482863,2960526.968875,R,,ARBM15Q1R2,"February 27, 2022",843996,-8915871.622717699,3093915.403710731
2015845183460,2015,845183460,FHPL15OFF007036,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 2, 2015",1325,TUESDAY,9394 WEST PALM BEACH,0694,N,OKEECHOBEE BLVD,I 95,0.189,W,26.6770403,-80.0740955,26.7061204,-80.0786594,93280000,7.544,04802,SR 704,,L LEFT,3 THRU LANE 3,W WEST,30 URBAN 6+LN 2WY DIVD RASD,03 STATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,31,"June 2, 2014",14 URBAN PRIN ART OTHER,44,PAVED,3,CURB&GUTTER,2,,0,18,63000,RCI,10.8,,45,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, UNPROTECTED","TWO-WAY, DIVIDED, UNPROTECTED",NO CONTROLS,NO CONTROLS,8,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,"02 YES, SCHOOL BUS DIRECTLY INVOL",0,0,0,0,2,0,2,8,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,26.706261497,-80.078430983,591672.385945,2954233.028422,L,,ARBM15Q1R2,"February 27, 2022",843997,-8914290.458052788,3086821.3069301173
