Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2016852456990,2016,852456990,FHPL16OFF002003,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 9, 2016",0215,SUNDAY,9394 WEST PALM BEACH,0694,Y,I 95,SOUTHERN BLVD,0.038,N,26.6770133,-80.0685533,26.6560982,-80.0690031,93220052,0.038,01667,SR 9,I 95,R RIGHT,X RAMP,N NORTH,07 RAMP URBAN,01 INTERSTATE,14 ENTRANCE/EXIT RAMP,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,25,PAVED,4,LAWN,8,,0,,13000,RCI,3.1,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,07 ENTRANCE RAMP,04 DARK-LIGHTED,02 CLOUDY,02 WET,04 DOWNHILL,1 STRAIGHT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,2,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.656080975,-80.069029785,592648.167999,2948681.679023,O,,ARBM15Q1R2,"February 27, 2022",1086,-8913243.920943473,3080569.540482021
2016852457040,2016,852457040,FHPL16OFF004114,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 18, 2016",0140,TUESDAY,9394 WEST PALM BEACH,0694,Y,I 95,PALM BEACH LAKES BLVD,0.5,N,26.7318183,-80.0914283,26.7264109,-80.091278,93220000,28.975,01221,SR 9,I 95,L LEFT,4 THRU LANE 4,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,78,PAVED,10,LAWN,12,,0,32,213000,RCI,7.3,,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,02 CLOUDY,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.726203694,-80.091585661,590348.022078,2956432.495299,L,,ARBM15Q1R2,"February 27, 2022",1194,-8915754.830544181,3089306.580507661
2016852457060,2016,852457060,FHPL16OFF005128,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 22, 2016",0145,SATURDAY,9394 WEST PALM BEACH,0694,Y,I 95,45TH ST,0.1,N,26.7600866,-80.0918749,26.7581886,-80.0906926,93220000,31.171,05030,SR 9,I 95,M MEDIAN,M MIDDLE,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,34,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,10,,0,,0,32,213000,RCI,7.3,1D1500,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,02 CLOUDY,01 DRY,02 HILLCREST,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,10,OBSTRUCTION IN ROADWAY,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.758058855,-80.090630832,590417.790026,2959961.562595,R,,ARBM15Q1R2,"February 27, 2022",1195,-8915648.539552327,3093277.397573188
2016852526020,2016,852526020,FHPL16OFF000386,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 2, 2016",0149,SUNDAY,9394 WEST PALM BEACH,0694,Y,SR 9,SR 80,0.75,S,26.67029,-80.0705333,26.6646458,-80.0708355,93220000,24.161,02219,SR 9,I 95,R RIGHT,5 THRU LANE 5,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,36,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,8,VALLEY GUTR,3,,0,32,230000,RCI,5.7,0D3000,65,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,02 CLOUDY,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",00 NOT CODED,NOT CODED,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,2,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.664405254,-80.070857722,592459.536437,2949602.373157,R,,ARBM15Q1R2,"February 27, 2022",1320,-8913447.406113204,3081606.4348326526
2016852470880,2016,852470880,FHPL16OFF018710,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"March 17, 2016",0515,FRIDAY,9394 WEST PALM BEACH,0694,N,I 95,45TH ST,0.05,S,26.7464781,-80.0900616,26.7555756,-80.0899599,93220000,30.985,01189,SR 9,I 95,R RIGHT,S SIDE OF ROAD,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,34,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,10,,0,,0,32,213000,RCI,7.3,1D1500,65,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,05 DARK-NOT LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,32 TREE (STANDING),77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,26.75543384,-80.089924504,590490.102455,2959671.308136,R,,ARBM15Q1R2,"February 27, 2022",1410,-8915569.911426425,3092950.1414202503
2016852526210,2016,852526210,FHPL16OFF010948,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 14, 2016",1553,MONDAY,9394 WEST PALM BEACH,0694,Y,SR 9,PALM BEACH LAKES BLVD,0.35,N,26.7132899,-80.0826366,26.7210978,-80.0906312,93220000,28.604,01221,SR 9,I 95,R RIGHT,3 THRU LANE 3,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED,13,LAWN,12,,0,32,213000,RCI,7.3,1D3000,65,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,14 SLOWING,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,3,0,3,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.720939519,-80.09058483,590451.728652,2955850.128521,R,,ARBM15Q1R2,"February 27, 2022",1467,-8915643.418497713,3088650.496413532
2016852526220,2016,852526220,FHPL16OFF010967,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 14, 2016",1553,MONDAY,9394 WEST PALM BEACH,0694,Y,SR 9,PALM BEACH LAKES BLVD,0.35,S,26.7133333,-80.0826866,26.7137601,-80.083091,93220000,27.904,01223,SR 9,I 95,R RIGHT,1 THRU LANE 1,N NORTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED,13,,0,,0,32,206101,RCI,6.4,,65,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,14 SLOWING,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.713651141,-80.082923543,591219.579861,2955048.305758,R,,ARBM15Q1R2,"February 27, 2022",1468,-8914790.567674961,3087742.1821167967
2016852526110,2016,852526110,FHPL16OFF005328,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 22, 2016",2314,SATURDAY,9394 WEST PALM BEACH,0694,N,SR 9,SR 704,0.25,S,26.70144,-80.0726266,26.7004369,-80.0717643,93220000,26.741,01228,SR 9,I 95,L LEFT,4 THRU LANE 4,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,35,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED,10,LAWN,3,,0,32,229000,RCI,6,,65,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,04 DARK-LIGHTED,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,PHYSICAL OBSTRUCTION(S),ALL OTHER (SEE NARRTIVE),NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,17 ENTERING TRAFFIC LANE,FAILED TO YIELD RIGHT-OF-WAY,DROVE TOO FAST FOR CONDITIONS,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,3,0,0,0,2,0,2,3,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,26.700236266,-80.071979978,592318.986246,2953570.309655,L,,ARBM15Q1R2,"February 27, 2022",1492,-8913572.335259527,3086070.5050718435
2016852526120,2016,852526120,FHPL16OFF006336,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"January 26, 2016",2227,WEDNESDAY,9394 WEST PALM BEACH,0694,Y,SR 9,SR 704,0.009,S,26.7053816,-80.0747433,26.7065394,-80.0756469,93220065,0.254,01180,SR 9,I 95,R RIGHT,X RAMP,N NORTH,07 RAMP URBAN,01 INTERSTATE,14 ENTRANCE/EXIT RAMP,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,15,PAVED,6,,0,,0,,5800,RCI,2.8,,,0 UNKNOWN/NOT CODED,31 Q/C COMPLETED - LOC VERIFIED,0 NO,07 ENTRANCE RAMP,04 DARK-LIGHTED,03 RAIN,02 WET,01 LEVEL,2 CURVE RIGHT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,1,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),00 NOT CODED,NOT CODED,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,0,0,1,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.706530876,-80.075653946,591948.427623,2954264.865871,O,,ARBM15Q1R2,"February 27, 2022",1493,-8913981.31960026,3086854.8751591584
2016852526130,2016,852526130,FHPL16OFF007807,FLORIDA HIGHWAY PATROL,04 FOURTH,PALM BEACH,"February 1, 2016",1504,TUESDAY,9394 WEST PALM BEACH,0694,Y,SR 9,PALM BEACH LAKES BLVD,0.076,N,26.7197566,-80.0904516,26.4722425,-80.0885731,93220000,10.676,05030,SR 9,I 95,L LEFT,3 THRU LANE 3,S SOUTH,01 INTERSTATE URBAN,01 INTERSTATE,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,38,"June 2, 2015",11 URBAN PRIN ART INT.,64,PAVED WARN,8,VALLEY GUTR,3,,0,32,203082,RCI,6,,65,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,03 UPHILL,3 CURVE LEFT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,10,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,77 OTHER (SEE NARRATIVE),03 TURNING LEFT,FAILED TO KEEP IN PROPER LANE,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,7,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,26.47186021,-80.089028738,590802.904435,2928262.877783,L,,ARBM15Q1R2,"February 27, 2022",1494,-8915470.194411628,3057641.8076735926
