Date and Time,Agency Name (Crash Level) ,Area: County,Area: City,Roadway (From Crash Report),Intersection Name (from Crash Report),KABCO Severity,Manner of Collision (Crash Level) ,First Harmful Event (Crash Level) ,SHSP Emphasis Areas,# of Fatalities (Person Table),# Serious Injuries,# Visible Injuries,# Complaint Injuries,# of Vehicles,Operator / Driver Contributing Factor -old,Roadway Contributing Factors (Crash Level) ,Weather Conditions (Crash Level),Surface Condition (Crash Level) ,Light Conditions (Crash Level),Latitude ,Longitude
12/21/15 21:45,Gsp Post 00,Fulton,Atlanta,I 85,,(O) No Injury,Rear End,,"[""Hit & Run"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,0,0,0,2,"[""Following Too Close"",""No Contributing Factors"",""No Contributing Factors""]",,Rain,Wet,Dark-Not Lighted,33.768643,-84.390387
8/9/15 17:08,Atlanta Police Department,Fulton,Atlanta,Piedmont Rd,Pharr Rd and Piedmont Rd,(C) Possible Injury / Complaint,Rear End,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,3,"[""No Contributing Factors"",""No Contributing Factors"",""Other""]",,Clear,Wet,Daylight,33.836971,-84.368074
10/23/15 16:10,Atlanta Police Department,Fulton,Atlanta,Lawton St Sw St,Sells Ave and Lawton St Sw St,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,3,3,"[""Improper Turn"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.7453,-84.423251
7/16/15 9:30,Atlanta Police Department,Fulton,Atlanta,Peachtree Center Ave,Peachtree Center Ave and Andrew Young Interna Blvd,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle""]",0,0,0,1,2,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.759662,-84.386056
8/2/15 15:15,Atlanta Police Department,Fulton,Atlanta,Marietta St,Marietta St and Andrew Young International,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Hit & Run"",""Pedestrian""]",0,0,0,2,2,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.759293,-84.394494
3/23/15 6:30,Atlanta Police Department,Fulton,Atlanta,3393 Peachtree Rd,Lenox Rd and 3393 Peachtree Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""Other"",""Other""]",,Clear,Dry,Dark-Lighted,33.848344,-84.363216
8/25/15 11:50,Atlanta Police Department,Fulton,Atlanta,Piedmont Ave,Edgewood Ave and Piedmont Ave,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Driver (Age 15-19)""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.754518,-84.382298
8/1/15 20:00,Atlanta Police Department,Fulton,Atlanta,Northside Dr,Holmes St and Northside Dr,(A) Suspected Serious Injury,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,1,0,0,2,"[""No Contributing Factors"",""Wrong Side of Road""]",,Clear,Dry,Daylight,33.799224,-84.407808
12/22/15 20:00,Atlanta Police Department,Fulton,Atlanta,4279 Roswell,Wiueca Rd and 4279 Roswell,(C) Possible Injury / Complaint,Angle (Other),,"[""Pedestrian"",""Older Driver (55-64)""]",0,0,0,1,1,,,Clear,Dry,Daylight,33.871465,-84.381053
9/11/15 17:27,Atlanta Police Department,Fulton,Atlanta,3565 Parc Cir,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Cloudy,Dry,Daylight,33.699851,-84.497972
