,Map,Image No,Rpt No,Weekday,Date,Time,Veh Count,Involvement,Agency,Troop,County,City,Type,Severity,At Street,On Street,Light Cond,Injured,Killed,Injury
1,Mapped,'0100011390','201000007 ',Sat,1/2/10,10:46:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST JACKSON ST,LP 70,Daylight,1,0,Evident Injury (Not Disabling)
2,Mapped,'0100012304','2010000963 ',Sat,1/2/10,18:11:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT TT,MO 740,Dark-Lighted,1,0,Probably Injury (Not Apparent)
3,Mapped,'0100011394','201000051 ',Sat,1/2/10,18:18:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT TT,MO 740,Dark-Lighted,1,0,Probably Injury (Not Apparent)
4,Mapped,'0100011416','201000197400014',Mon,1/4/10,14:48:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GARTH AVE,LP 70,Daylight,3,0,Probably Injury (Not Apparent)
5,Mapped,'0100011416','201000197400014',Mon,1/4/10,14:48:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GARTH AVE,LP 70,Daylight,3,0,Probably Injury (Not Apparent)
6,Mapped,'0100011416','201000197400014',Mon,1/4/10,14:48:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GARTH AVE,LP 70,Daylight,3,0,Probably Injury (Not Apparent)
7,Mapped,'0100011410','201000271200019',Tue,1/5/10,16:26:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CHAPEL HILL RD,CST FORUM BLVD,Daylight,1,0,Probably Injury (Not Apparent)
8,Mapped,'0100011404','201000275800021',Tue,1/5/10,17:23:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WORLEY,MO 740,Dark-Lighted,1,0,Evident Injury (Not Disabling)
9,Mapped,'0100011405','201000279700020',Tue,1/5/10,18:40:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST COLLEGE,CST BROADWAY,Dark-Lighted,2,0,Probably Injury (Not Apparent)
10,Mapped,'0100011405','201000279700020',Tue,1/5/10,18:40:00,3,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST COLLEGE,CST BROADWAY,Dark-Lighted,2,0,Probably Injury (Not Apparent)
