Crash ID,Crash Date,Crash Year,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Not Injured Count,Person Possible Injury Count,Person Suspected Serious Injury Count,Person Type
12471839,1/3/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12475493,1/6/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12488141,1/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12488185,1/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12488321,1/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12488321,1/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12488340,1/15/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12495061,1/17/12,2012,K - FATAL INJURY,0,0,0,0,3 - PEDALCYCLIST
12496377,1/18/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12497231,1/18/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12514933,1/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12496493,1/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12497347,1/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12512059,1/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12512090,1/26/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12516535,1/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12512103,1/29/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12520768,2/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12522537,2/2/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12522323,2/3/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12526955,2/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12528743,2/6/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
