Crash ID,Crash Date,Crash Year,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Not Injured Count,Person Possible Injury Count,Person Suspected Serious Injury Count,Person Total Injury Count,Person Type
12585769,1/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12468760,1/3/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12471935,1/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12475710,1/3/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12483693,1/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12483790,1/3/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12488272,1/3/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12615831,1/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12471896,1/4/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12471932,1/4/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12473039,1/4/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12473098,1/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12491920,1/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12475446,1/6/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12475556,1/6/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12501592,1/9/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12485785,1/10/12,2012,N - NOT INJURED,0,1,0,0,0,4 - PEDESTRIAN
12609995,1/12/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12490595,1/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12496501,1/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12490632,1/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12490669,1/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12490680,1/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12490680,1/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12493989,1/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12494729,1/18/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12494729,1/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12514975,1/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12516477,1/18/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12496536,1/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12497123,1/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12497202,1/20/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12497202,1/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12497274,1/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12500775,1/20/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12500775,1/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12514994,1/20/12,2012,N - NOT INJURED,0,1,0,0,0,4 - PEDESTRIAN
12522501,1/20/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12497299,1/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12497361,1/21/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12501561,1/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12501561,1/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12515010,1/22/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12522581,1/22/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12501559,1/23/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12501596,1/23/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12505717,1/23/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12511863,1/23/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12505729,1/24/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12505788,1/24/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12509352,1/25/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12509407,1/26/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12511800,1/26/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12511916,1/26/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12512089,1/26/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12511813,1/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12511947,1/27/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12531054,1/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12512030,1/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12512032,1/28/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12513914,1/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12522550,1/28/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12522506,1/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12530910,1/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12703853,1/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12514047,1/31/12,2012,N - NOT INJURED,0,1,0,0,0,4 - PEDESTRIAN
12518714,2/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12526959,2/1/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12520866,2/2/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12520873,2/2/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12520881,2/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12522521,2/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12522684,2/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12522763,2/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12522698,2/4/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12530984,2/4/12,2012,N - NOT INJURED,0,1,0,0,0,4 - PEDESTRIAN
12531064,2/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12525779,2/6/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12525779,2/6/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12546312,2/6/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12527008,2/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12527056,2/7/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12531181,2/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12541192,2/7/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12528797,2/8/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12530702,2/9/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12531045,2/9/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12530937,2/10/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12530965,2/10/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12531180,2/10/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12543664,2/10/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12553967,2/10/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12530990,2/11/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12531048,2/11/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12531238,2/12/12,2012,99 - UNKNOWN,0,0,0,0,0,4 - PEDESTRIAN
12533102,2/13/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12533105,2/13/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12537807,2/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12537808,2/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12537905,2/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12537931,2/13/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12574873,2/13/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12537899,2/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12537932,2/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12537932,2/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12546038,2/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12541086,2/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12541197,2/15/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12571040,2/15/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12543668,2/16/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12545267,2/16/12,2012,N - NOT INJURED,0,1,0,0,0,4 - PEDESTRIAN
12569176,2/16/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12545962,2/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12546026,2/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12546043,2/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,1,4 - PEDESTRIAN
12546097,2/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
12546196,2/18/12,2012,K - FATAL INJURY,0,0,0,0,0,4 - PEDESTRIAN
12548621,2/19/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1,4 - PEDESTRIAN
12553885,2/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,1,4 - PEDESTRIAN
